taxonID,vernacularName,language,languageName,rightsHolder,license
wfo-0000031264,kanyamata,hke,Hunde,Meise Botanic Garden,http://creativecommons.org/licenses/by/4.0/
wfo-0001320133,mupfupfu,hke,Hunde,Meise Botanic Garden,http://creativecommons.org/licenses/by/4.0/
wfo-0001320133,muhulu,hke,Hunde,Meise Botanic Garden,http://creativecommons.org/licenses/by/4.0/
wfo-0000560740,nunvu,jgb,Ngbee,Meise Botanic Garden,http://creativecommons.org/licenses/by/4.0/
wfo-0000530260,padede,keo,Kakwa,Meise Botanic Garden,http://creativecommons.org/licenses/by/4.0/
wfo-0001302560,nyerigni,keo,Kakwa,Meise Botanic Garden,http://creativecommons.org/licenses/by/4.0/
wfo-0001320098,kikininyerini,keo,Kakwa,Meise Botanic Garden,http://creativecommons.org/licenses/by/4.0/
wfo-0001302706,umugombe,kin,Kinyarwanda,Meise Botanic Garden,http://creativecommons.org/licenses/by/4.0/
wfo-0001302706,muingombegombe,kin,Kinyarwanda,Meise Botanic Garden,http://creativecommons.org/licenses/by/4.0/
wfo-0001302706,mugombe,kin,Kinyarwanda,Meise Botanic Garden,http://creativecommons.org/licenses/by/4.0/
wfo-0001302706,mogombe,kin,Kinyarwanda,Meise Botanic Garden,http://creativecommons.org/licenses/by/4.0/
wfo-0001302707,mushungu,kin,Kinyarwanda,Meise Botanic Garden,http://creativecommons.org/licenses/by/4.0/
wfo-0001302560,urumabutongo,kin,Kinyarwanda,Meise Botanic Garden,http://creativecommons.org/licenses/by/4.0/
wfo-0001302560,inyabutongo,kin,Kinyarwanda,Meise Botanic Garden,http://creativecommons.org/licenses/by/4.0/
wfo-0001302560,inabutongo,kin,Kinyarwanda,Meise Botanic Garden,http://creativecommons.org/licenses/by/4.0/
wfo-0001302703,moka,kin,Kinyarwanda,Meise Botanic Garden,http://creativecommons.org/licenses/by/4.0/
wfo-0001302661,moniezigirira,kin,Kinyarwanda,Meise Botanic Garden,http://creativecommons.org/licenses/by/4.0/
wfo-0000176732,kasibanyio,kin,Kinyarwanda,Meise Botanic Garden,http://creativecommons.org/licenses/by/4.0/
wfo-0001320128,umusheba,kin,Kinyarwanda,Meise Botanic Garden,http://creativecommons.org/licenses/by/4.0/
wfo-0000742532,umubobabago,kin,Kinyarwanda,Meise Botanic Garden,http://creativecommons.org/licenses/by/4.0/
wfo-0000742532,moshaku shaku,kin,Kinyarwanda,Meise Botanic Garden,http://creativecommons.org/licenses/by/4.0/
wfo-0001077627,uruberwa,kin,Kinyarwanda,Meise Botanic Garden,http://creativecommons.org/licenses/by/4.0/
wfo-0001077627,umususwe,kin,Kinyarwanda,Meise Botanic Garden,http://creativecommons.org/licenses/by/4.0/
wfo-0001077627,umudenfu,kin,Kinyarwanda,Meise Botanic Garden,http://creativecommons.org/licenses/by/4.0/
wfo-0001320098,icyumya,kin,Kinyarwanda,Meise Botanic Garden,http://creativecommons.org/licenses/by/4.0/
wfo-0000070418,ikarwe,kin,Kinyarwanda,Meise Botanic Garden,http://creativecommons.org/licenses/by/4.0/
wfo-0000070418,icyumwa,kin,Kinyarwanda,Meise Botanic Garden,http://creativecommons.org/licenses/by/4.0/
wfo-0000070418,ichyezamenyo,kin,Kinyarwanda,Meise Botanic Garden,http://creativecommons.org/licenses/by/4.0/
wfo-0000070418,chumya,kin,Kinyarwanda,Meise Botanic Garden,http://creativecommons.org/licenses/by/4.0/
wfo-0000681128,umushikiri,kin,Kinyarwanda,Meise Botanic Garden,http://creativecommons.org/licenses/by/4.0/
wfo-0001320108,umwatashari,kin,Kinyarwanda,Meise Botanic Garden,http://creativecommons.org/licenses/by/4.0/
wfo-0001320108,musakasaka,kin,Kinyarwanda,Meise Botanic Garden,http://creativecommons.org/licenses/by/4.0/
wfo-0000816847,ubwungo,kin,Kinyarwanda,Meise Botanic Garden,http://creativecommons.org/licenses/by/4.0/
wfo-0000816847,kajuju,kin,Kinyarwanda,Meise Botanic Garden,http://creativecommons.org/licenses/by/4.0/
wfo-0001075945,umugarura,kin,Kinyarwanda,Meise Botanic Garden,http://creativecommons.org/licenses/by/4.0/
wfo-0000318727,nembwe,kin,Kinyarwanda,Meise Botanic Garden,http://creativecommons.org/licenses/by/4.0/
wfo-0001320083,kishokongoro,kin,Kinyarwanda,Meise Botanic Garden,http://creativecommons.org/licenses/by/4.0/
wfo-0001320083,ikishokonkorwa,kin,Kinyarwanda,Meise Botanic Garden,http://creativecommons.org/licenses/by/4.0/
wfo-0000738373,ikirumiko,kin,Kinyarwanda,Meise Botanic Garden,http://creativecommons.org/licenses/by/4.0/
wfo-0000738373,igitamatama,kin,Kinyarwanda,Meise Botanic Garden,http://creativecommons.org/licenses/by/4.0/
wfo-0000738373,ekilumika,kin,Kinyarwanda,Meise Botanic Garden,http://creativecommons.org/licenses/by/4.0/
wfo-0000031264,rurira,kin,Kinyarwanda,Meise Botanic Garden,http://creativecommons.org/licenses/by/4.0/
wfo-0000031264,kikembekembe,kin,Kinyarwanda,Meise Botanic Garden,http://creativecommons.org/licenses/by/4.0/
wfo-0001320133,uruvubu,kin,Kinyarwanda,Meise Botanic Garden,http://creativecommons.org/licenses/by/4.0/
wfo-0001320133,umuvuvu,kin,Kinyarwanda,Meise Botanic Garden,http://creativecommons.org/licenses/by/4.0/
wfo-0001320133,movovo,kin,Kinyarwanda,Meise Botanic Garden,http://creativecommons.org/licenses/by/4.0/
wfo-0000742532,kasambila,kny,Kanyok,Meise Botanic Garden,http://creativecommons.org/licenses/by/4.0/
wfo-0001320098,kefu,kny,Kanyok,Meise Botanic Garden,http://creativecommons.org/licenses/by/4.0/
wfo-0001320104,nlombi mvula,kon,Kongo,Meise Botanic Garden,http://creativecommons.org/licenses/by/4.0/
wfo-0001320106,musakala,kon,Kongo,Meise Botanic Garden,http://creativecommons.org/licenses/by/4.0/
wfo-0000560740,nsakala,kon,Kongo,Meise Botanic Garden,http://creativecommons.org/licenses/by/4.0/
wfo-0000560740,munsakala,kon,Kongo,Meise Botanic Garden,http://creativecommons.org/licenses/by/4.0/
wfo-0000085247,ndudi-ndudi,kon,Kongo,Meise Botanic Garden,http://creativecommons.org/licenses/by/4.0/
wfo-0000085247,mundudi-ndudi ya ntela,kon,Kongo,Meise Botanic Garden,http://creativecommons.org/licenses/by/4.0/
wfo-0000085247,lulu,kon,Kongo,Meise Botanic Garden,http://creativecommons.org/licenses/by/4.0/
wfo-0000530260,goi,led,Lendu,Meise Botanic Garden,http://creativecommons.org/licenses/by/4.0/
wfo-0001302560,tsetsei,led,Lendu,Meise Botanic Garden,http://creativecommons.org/licenses/by/4.0/
wfo-0000212788,d'za,led,Lendu,Meise Botanic Garden,http://creativecommons.org/licenses/by/4.0/
wfo-0000416503,rabe,led,Lendu,Meise Botanic Garden,http://creativecommons.org/licenses/by/4.0/
wfo-0000283802,dhali,led,Lendu,Meise Botanic Garden,http://creativecommons.org/licenses/by/4.0/
wfo-0001320115,ofufungo,led,Lendu,Meise Botanic Garden,http://creativecommons.org/licenses/by/4.0/
wfo-0000919515,mbali,led,Lendu,Meise Botanic Garden,http://creativecommons.org/licenses/by/4.0/
wfo-0000816847,lakate,led,Lendu,Meise Botanic Garden,http://creativecommons.org/licenses/by/4.0/
wfo-0001320083,danzi-danzi,led,Lendu,Meise Botanic Garden,http://creativecommons.org/licenses/by/4.0/
wfo-0000031264,nridatso,led,Lendu,Meise Botanic Garden,http://creativecommons.org/licenses/by/4.0/
wfo-0001320133,drambi,led,Lendu,Meise Botanic Garden,http://creativecommons.org/licenses/by/4.0/
wfo-0000070418,tsatsa,led,Lendu,Meise Botanic Garden,http://creativecommons.org/licenses/by/4.0/
wfo-0000526544,bukongo,lel,Lele,Meise Botanic Garden,http://creativecommons.org/licenses/by/4.0/
wfo-0000212788,ngare,lgm,Lega-Mwenga,Meise Botanic Garden,http://creativecommons.org/licenses/by/4.0/
wfo-0000416503,muhimbu,lgm,Lega-Mwenga,Meise Botanic Garden,http://creativecommons.org/licenses/by/4.0/
wfo-0000568358,mukuma,lgm,Lega-Mwenga,Meise Botanic Garden,http://creativecommons.org/licenses/by/4.0/
wfo-0000919515,mundianama,lgm,Lega-Mwenga,Meise Botanic Garden,http://creativecommons.org/licenses/by/4.0/
wfo-0000919515,kabungu,lgm,Lega-Mwenga,Meise Botanic Garden,http://creativecommons.org/licenses/by/4.0/
wfo-0000236816,namitete,lgm,Lega-Mwenga,Meise Botanic Garden,http://creativecommons.org/licenses/by/4.0/
wfo-0000933761,lusovvo,lgm,Lega-Mwenga,Meise Botanic Garden,http://creativecommons.org/licenses/by/4.0/
wfo-0000933761,lusoo,lgm,Lega-Mwenga,Meise Botanic Garden,http://creativecommons.org/licenses/by/4.0/
wfo-0000933761,lusogo,lgm,Lega-Mwenga,Meise Botanic Garden,http://creativecommons.org/licenses/by/4.0/
wfo-0000359066,musehi,lgm,Lega-Mwenga,Meise Botanic Garden,http://creativecommons.org/licenses/by/4.0/
wfo-0000359066,busese,lgm,Lega-Mwenga,Meise Botanic Garden,http://creativecommons.org/licenses/by/4.0/
wfo-0000359066,busei,lgm,Lega-Mwenga,Meise Botanic Garden,http://creativecommons.org/licenses/by/4.0/
wfo-0000318727,kisu,lgm,Lega-Mwenga,Meise Botanic Garden,http://creativecommons.org/licenses/by/4.0/
wfo-0000530260,bionuda,lin,Lingala,Meise Botanic Garden,http://creativecommons.org/licenses/by/4.0/
wfo-0000530260,bwenzonda,lin,Lingala,Meise Botanic Garden,http://creativecommons.org/licenses/by/4.0/
wfo-0000530260,monzonda,lin,Lingala,Meise Botanic Garden,http://creativecommons.org/licenses/by/4.0/
wfo-0000212788,djongo,lin,Lingala,Meise Botanic Garden,http://creativecommons.org/licenses/by/4.0/
wfo-0000212788,bolengu,lin,Lingala,Meise Botanic Garden,http://creativecommons.org/licenses/by/4.0/
wfo-0000176136,donda,lin,Lingala,Meise Botanic Garden,http://creativecommons.org/licenses/by/4.0/
wfo-0000526544,wobiebie,lin,Lingala,Meise Botanic Garden,http://creativecommons.org/licenses/by/4.0/
wfo-0000526544,mobiebie,lin,Lingala,Meise Botanic Garden,http://creativecommons.org/licenses/by/4.0/
wfo-0000526544,bobiebie,lin,Lingala,Meise Botanic Garden,http://creativecommons.org/licenses/by/4.0/
wfo-0000526548,wobiebie,lin,Lingala,Meise Botanic Garden,http://creativecommons.org/licenses/by/4.0/
wfo-0000526548,bobiebie,lin,Lingala,Meise Botanic Garden,http://creativecommons.org/licenses/by/4.0/
