WFOID	countryCode	locationID	locality	establishmentMeans	source
wfo-0000541096	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0001116817	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0001116819	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0001125364	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0001114736	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0001125361	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0001118512	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0001125363	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0001124747	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0001122707	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0001122708	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0001124752	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0001114941	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0000260032	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0000543220	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0000199770	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0000185987	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0001388836	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0000199789	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0000199792	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0000199797	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0000199803	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0000199807	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0000192038	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0000199831	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0000543836	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0000543856	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0000543857	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0000543880	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0000543898	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0000543899	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0000543940	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0000543968	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0000544074	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0000544079	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0000544092	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0000544093	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0000544107	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0000544118	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0001085852	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0001389901	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0000544135	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0001085856	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0000544165	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0000544170	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0000544252	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0000544255	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0000544295	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0000544297	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0000544301	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0000544306	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0000544318	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0000544331	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0000544338	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0000544353	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0000544376	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0000544408	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0000544444	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0000544452	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0000544457	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0000544491	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0001276110	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0000544521	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0000544585	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0000544617	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0000544620	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0000544624	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0000544710	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0000544730	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0000544733	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0000544757	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0000544798	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0000544833	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0000544840	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0000544848	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0000544855	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0000544877	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0000544922	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0000544941	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0000544987	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0000545004	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0000545011	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0000545028	TH	THA	Thailand	Managed	Flora of Thailand
