WFOID	title	identifier	rights	license	format	source	audience	creator	created	modified	contributor	publisher	description	locality	subject	rightsHolder	latitude	longitude	references
wfo-0000878890	Cleistocalyx nigrans. Drawing	img-THA-0000878890.1	Forest Herbarium	All rights reserved	jpg	Flora of Thailand		Rachun Pooma			J. Parnell & P. Chantaranothai	Forest Herbarium	Figure 4						https://botany.dnp.go.th/image/flora/7/MYRT_Figure4.jpg
wfo-0000611317	Cleome gynandra. Drawing	img-THA-0000611317.1	Forest Herbarium	All rights reserved	jpg	Flora of Thailand		Rachun Pooma			K. Chayamarit	Forest Herbarium	Figure 55						https://botany.dnp.go.th/image/flora/5/CAPP_Fig55.jpg
wfo-0000898219	Cnesmone javanica. Drawing	img-THA-0000898219.1	Forest Herbarium	All rights reserved	jpg	Flora of Thailand		Rachun Pooma			K. Chayamarit & P.C. van Welzen	Forest Herbarium	Figure 41						https://botany.dnp.go.th/image/flora/8/EUPH_Fig41.jpg
wfo-0000898248	Cnesmone laevis. Drawing	img-THA-0000898248.1	Forest Herbarium	All rights reserved	jpg	Flora of Thailand		Rachun Pooma			K. Chayamarit & P.C. van Welzen	Forest Herbarium	Figure 42						https://botany.dnp.go.th/image/flora/8/EUPH_Fig42.jpg
wfo-0000898259	Cnesmone laotica. Drawing	img-THA-0000898259.1	Forest Herbarium	All rights reserved	jpg	Flora of Thailand		Rachun Pooma			K. Chayamarit & P.C. van Welzen	Forest Herbarium	Figure 43						https://botany.dnp.go.th/image/flora/8/EUPH_Fig43.jpg
wfo-0000612919	Coccinia grandis. Drawing	img-THA-0000612919.1	Forest Herbarium	All rights reserved	jpg	Flora of Thailand		Rachun Pooma			W.J.J.O. de Wilde & B.E.E. Duyfjes	Forest Herbarium	Figure 4						https://botany.dnp.go.th/image/flora/9/CUCU_Fig4.jpg
wfo-0000613595	Cocculus orbiculatus. Drawing	img-THA-0000613595.1	Forest Herbarium	All rights reserved	jpg	Flora of Thailand		Rachun Pooma			L.L. Forman	Forest Herbarium	Figure 78						https://botany.dnp.go.th/image/flora/5/MENI_Fig_78.jpg
wfo-0000905170	Codiaeum variegatum. Drawing	img-THA-0000905170.1	Forest Herbarium	All rights reserved	jpg	Flora of Thailand		Rachun Pooma			K. Chayamarit & P.C. van Welzen	Forest Herbarium	Appendix of Plates of Euphorbiaceae (A–F) Part 1: Figure 8.						https://botany.dnp.go.th/image/flora/8/EUPH_APP_Fig8.jpg
wfo-0000615146	Colona auriculata. Drawing	img-THA-0000615146.1	Forest Herbarium	All rights reserved	jpg	Flora of Thailand		Rachun Pooma			C. Phengklai	Forest Herbarium	Figure 44						https://botany.dnp.go.th/image/flora/6/TILI_Figure44.jpg
wfo-0000615151	Colona diptera. Drawing	img-THA-0000615151.1	Forest Herbarium	All rights reserved	jpg	Flora of Thailand		Rachun Pooma			C. Phengklai	Forest Herbarium	Figure 42						https://botany.dnp.go.th/image/flora/6/TILI_Figure42.jpg
wfo-0000615154	Colona elobata. Drawing	img-THA-0000615154.1	Forest Herbarium	All rights reserved	jpg	Flora of Thailand		Rachun Pooma			C. Phengklai	Forest Herbarium	Figure 38						https://botany.dnp.go.th/image/flora/6/TILI_Figure38.jpg
wfo-0000615157	Colona flagrocarpa. Drawing	img-THA-0000615157.1	Forest Herbarium	All rights reserved	jpg	Flora of Thailand		Rachun Pooma			C. Phengklai	Forest Herbarium	Figure 41						https://botany.dnp.go.th/image/flora/6/TILI_Figure41.jpg
wfo-0000615158	Colona floribunda. Drawing	img-THA-0000615158.1	Forest Herbarium	All rights reserved	jpg	Flora of Thailand		Rachun Pooma			C. Phengklai	Forest Herbarium	Figure 43						https://botany.dnp.go.th/image/flora/6/TILI_Figure43.jpg
wfo-0000615166	Colona javanica. Drawing	img-THA-0000615166.1	Forest Herbarium	All rights reserved	jpg	Flora of Thailand		Rachun Pooma			C. Phengklai	Forest Herbarium	Figure 39						https://botany.dnp.go.th/image/flora/6/TILI_Figure39.jpg
wfo-0000615185	Colona winitii. Drawing	img-THA-0000615185.1	Forest Herbarium	All rights reserved	jpg	Flora of Thailand		Rachun Pooma			C. Phengklai	Forest Herbarium	Figure 40						https://botany.dnp.go.th/image/flora/6/TILI_Figure40.jpg
wfo-0001125788	Colysis pentaphylla. Drawing	img-THA-0001125788.1	Forest Herbarium	All rights reserved	jpg	Flora of Thailand		Rachun Pooma			"M. Tagawa, K. Iwatsuki"	Forest Herbarium	Figure 54						https://botany.dnp.go.th/image/flora/3/PTER_fig54.jpg
wfo-0001125785	Colysis wui. Drawing	img-THA-0001125785.1	Forest Herbarium	All rights reserved	jpg	Flora of Thailand		Rachun Pooma			"M. Tagawa, K. Iwatsuki"	Forest Herbarium	Figure 54						https://botany.dnp.go.th/image/flora/3/PTER_fig54.jpg
wfo-0000617045	Commersonia bartramia. Drawing	img-THA-0000617045.1	Forest Herbarium	All rights reserved	jpg	Flora of Thailand		Rachun Pooma			C. Phengklai	Forest Herbarium	Figure 63						https://botany.dnp.go.th/image/flora/7/STER_Fig63.jpg
wfo-0001107255	Coniogramme procera. Drawing	img-THA-0001107255.1	Forest Herbarium	All rights reserved	jpg	Flora of Thailand		Rachun Pooma			"M. Tagawa, K. Iwatsuki"	Forest Herbarium	Figure 14						https://botany.dnp.go.th/image/flora/3/PTER_fig14.jpg
wfo-0000619993	Corchorus aestuans. Drawing	img-THA-0000619993.1	Forest Herbarium	All rights reserved	jpg	Flora of Thailand		Rachun Pooma			C. Phengklai	Forest Herbarium	Figure 19						https://botany.dnp.go.th/image/flora/6/TILI_Figure19.jpg
wfo-0000620125	Corchorus olitorius. Drawing	img-THA-0000620125.1	Forest Herbarium	All rights reserved	jpg	Flora of Thailand		Rachun Pooma			C. Phengklai	Forest Herbarium	Figure 17						https://botany.dnp.go.th/image/flora/6/TILI_Figure17.jpg
wfo-0000620174	Corchorus siamensis. Drawing	img-THA-0000620174.1	Forest Herbarium	All rights reserved	jpg	Flora of Thailand		Rachun Pooma			C. Phengklai	Forest Herbarium	Figure 18						https://botany.dnp.go.th/image/flora/6/TILI_Figure18.jpg
wfo-0000621274	Coriandrum sativum. Drawing	img-THA-0000621274.1	Forest Herbarium	All rights reserved	jpg	Flora of Thailand		Rachun Pooma			I.C. Hedge and J.M. Lamond	Forest Herbarium	Figure 98						https://botany.dnp.go.th/image/flora/5/UMBEL_Fig98.jpg
wfo-0001116747	Cornopteris opaca. Drawing	img-THA-0001116747.1	Forest Herbarium	All rights reserved	jpg	Flora of Thailand		Rachun Pooma			"M. Tagawa, K. Iwatsuki"	Forest Herbarium	Figure 46						https://botany.dnp.go.th/image/flora/3/PTER_fig46.jpg
wfo-0000623524	Coscinium blumeanum. Drawing	img-THA-0000623524.1	Forest Herbarium	All rights reserved	jpg	Flora of Thailand		Rachun Pooma			L.L. Forman	Forest Herbarium	Figure 74						https://botany.dnp.go.th/image/flora/5/MENI_Fig_74.jpg
wfo-0000363056	Costus globosus. Drawing	img-THA-0000363056.1	Forest Herbarium	All rights reserved	jpg	Flora of Thailand		Rachun Pooma			K. Larsen	Forest Herbarium	Figure 1						https://botany.dnp.go.th/image/flora/9/COST_Fig1.jpg
wfo-0000363111	Costus lacerus. Drawing	img-THA-0000363111.1	Forest Herbarium	All rights reserved	jpg	Flora of Thailand		Rachun Pooma			K. Larsen	Forest Herbarium	"Figure 2: A, B"						https://botany.dnp.go.th/image/flora/9/COST_Fig2.jpg
wfo-0000363601	Costus speciosus. Drawing	img-THA-0000363601.1	Forest Herbarium	All rights reserved	jpg	Flora of Thailand		Rachun Pooma			K. Larsen	Forest Herbarium	Figure 2: C						https://botany.dnp.go.th/image/flora/9/COST_Fig2.jpg
wfo-0000363933	Courtoisina cyperoides. Drawing	img-THA-0000363933.1	Forest Herbarium	All rights reserved	jpg	Flora of Thailand		Rachun Pooma			"D.A. Simpson, T. Koyama"	Forest Herbarium	Figure 29						https://botany.dnp.go.th/image/flora/6/CYPE_Figure29.jpg
wfo-0000625711	Crateva magna. Drawing	img-THA-0000625711.1	Forest Herbarium	All rights reserved	jpg	Flora of Thailand		Rachun Pooma			K. Chayamarit	Forest Herbarium	Figure 57						https://botany.dnp.go.th/image/flora/5/CAPP_Fig57.jpg
wfo-0001125318	Crepidomanes kurzii. Drawing	img-THA-0001125318.1	Forest Herbarium	All rights reserved	jpg	Flora of Thailand		Rachun Pooma			"M. Tagawa, K. Iwatsuki"	Forest Herbarium	Figure 5: 10						https://botany.dnp.go.th/image/flora/3/PTER_fig5.jpg
wfo-0000145690	Crepidomanes megistostomum. Drawing	img-THA-0000145690.1	Forest Herbarium	All rights reserved	jpg	Flora of Thailand		Rachun Pooma			"M. Tagawa, K. Iwatsuki"	Forest Herbarium	Figure 5: 11						https://botany.dnp.go.th/image/flora/3/PTER_fig5.jpg
wfo-0000364504	Croton acutifolius. Drawing	img-THA-0000364504.1	Forest Herbarium	All rights reserved	jpg	Flora of Thailand		Rachun Pooma			K. Chayamarit & P.C. van Welzen	Forest Herbarium	Figure 44						https://botany.dnp.go.th/image/flora/8/EUPH_Fig44.jpg
wfo-0000927338	Croton argyratus. Drawing	img-THA-0000927338.1	Forest Herbarium	All rights reserved	jpg	Flora of Thailand		Rachun Pooma			K. Chayamarit & P.C. van Welzen	Forest Herbarium	Figure 45						https://botany.dnp.go.th/image/flora/8/EUPH_Fig45.jpg
wfo-0000927697	Croton columnaris. Drawing	img-THA-0000927697.1	Forest Herbarium	All rights reserved	jpg	Flora of Thailand		Rachun Pooma			K. Chayamarit & P.C. van Welzen	Forest Herbarium	Figure 46						https://botany.dnp.go.th/image/flora/8/EUPH_Fig46.jpg
wfo-0000364525	Croton decalvatus. Drawing	img-THA-0000364525.1	Forest Herbarium	All rights reserved	jpg	Flora of Thailand		Rachun Pooma			K. Chayamarit & P.C. van Welzen	Forest Herbarium	Figure 47						https://botany.dnp.go.th/image/flora/8/EUPH_Fig47.jpg
wfo-0000931280	Croton hutchinsonianus. Drawing	img-THA-0000931280.1	Forest Herbarium	All rights reserved	jpg	Flora of Thailand		Rachun Pooma			K. Chayamarit & P.C. van Welzen	Forest Herbarium	Figure 48						https://botany.dnp.go.th/image/flora/8/EUPH_Fig48.jpg
wfo-0000931372	Croton kerrii. Drawing	img-THA-0000931372.1	Forest Herbarium	All rights reserved	jpg	Flora of Thailand		Rachun Pooma			K. Chayamarit & P.C. van Welzen	Forest Herbarium	Figure 49						https://botany.dnp.go.th/image/flora/8/EUPH_Fig49.jpg
wfo-0000199612	Crudia chrysantha. Drawing	img-THA-0000199612.1	Forest Herbarium	All rights reserved	jpg	Flora of Thailand		Rachun Pooma			"K. Larsen, S.S. Larsen, J.E. Vidal"	Forest Herbarium	Figure 23						https://botany.dnp.go.th/image/flora/4/LEGU_Fig23.jpg
wfo-0000199616	Crudia evansii. Drawing	img-THA-0000199616.1	Forest Herbarium	All rights reserved	jpg	Flora of Thailand		Rachun Pooma			"K. Larsen, S.S. Larsen, J.E. Vidal"	Forest Herbarium	Figure 23						https://botany.dnp.go.th/image/flora/4/LEGU_Fig23.jpg
wfo-0000199620	Crudia lanceolata. Drawing	img-THA-0000199620.1	Forest Herbarium	All rights reserved	jpg	Flora of Thailand		Rachun Pooma			"K. Larsen, S.S. Larsen, J.E. Vidal"	Forest Herbarium	Figure 23						https://botany.dnp.go.th/image/flora/4/LEGU_Fig23.jpg
wfo-0001125804	Crypsinus cruciformis. Drawing	img-THA-0001125804.1	Forest Herbarium	All rights reserved	jpg	Flora of Thailand		Rachun Pooma			"M. Tagawa, K. Iwatsuki"	Forest Herbarium	Figure 56						https://botany.dnp.go.th/image/flora/3/PTER_fig56.jpg
wfo-0001125812	Crypsinus ebenipes. Drawing	img-THA-0001125812.1	Forest Herbarium	All rights reserved	jpg	Flora of Thailand		Rachun Pooma			"M. Tagawa, K. Iwatsuki"	Forest Herbarium	Figure 56						https://botany.dnp.go.th/image/flora/3/PTER_fig56.jpg
wfo-0001260483	Crypsinus hirsutus. Drawing	img-THA-0001260483.1	Forest Herbarium	All rights reserved	jpg	Flora of Thailand		Rachun Pooma			"M. Tagawa, K. Iwatsuki"	Forest Herbarium	Figure 56						https://botany.dnp.go.th/image/flora/3/PTER_fig56.jpg
wfo-0001125807	Crypsinus oxylobus. Drawing	img-THA-0001125807.1	Forest Herbarium	All rights reserved	jpg	Flora of Thailand		Rachun Pooma			"M. Tagawa, K. Iwatsuki"	Forest Herbarium	Figure 56						https://botany.dnp.go.th/image/flora/3/PTER_fig56.jpg
wfo-0001125801	Crypsinus rhynchophyllus. Drawing	img-THA-0001125801.1	Forest Herbarium	All rights reserved	jpg	Flora of Thailand		Rachun Pooma			"M. Tagawa, K. Iwatsuki"	Forest Herbarium	Figure 56						https://botany.dnp.go.th/image/flora/3/PTER_fig56.jpg
wfo-0001117889	Ctenitis dumrongii. Drawing	img-THA-0001117889.1	Forest Herbarium	All rights reserved	jpg	Flora of Thailand		Rachun Pooma			"M. Tagawa, K. Iwatsuki"	Forest Herbarium	Figure 33						https://botany.dnp.go.th/image/flora/3/PTER_fig33.jpg
wfo-0000933411	Ctenolophon parvifolius. Drawing	img-THA-0000933411.1	Forest Herbarium	All rights reserved	jpg	Flora of Thailand		Rachun Pooma			K. Larsen	Forest Herbarium	Figure 17						https://botany.dnp.go.th/image/flora/7/CTEN_Fig17.jpg
wfo-0001260753	Ctenopteris moultonii. Drawing	img-THA-0001260753.1	Forest Herbarium	All rights reserved	jpg	Flora of Thailand		Rachun Pooma			"M. Tagawa, K. Iwatsuki"	Forest Herbarium	Figure 58						https://botany.dnp.go.th/image/flora/3/PTER_fig58.jpg
wfo-0001126866	Ctenopteris tenuisecta. Drawing	img-THA-0001126866.1	Forest Herbarium	All rights reserved	jpg	Flora of Thailand		Rachun Pooma			"M. Tagawa, K. Iwatsuki"	Forest Herbarium	Figure 58						https://botany.dnp.go.th/image/flora/3/PTER_fig58.jpg
wfo-0000628887	Cucumis hystrix. Drawing	img-THA-0000628887.1	Forest Herbarium	All rights reserved	jpg	Flora of Thailand		Rachun Pooma			W.J.J.O. de Wilde & B.E.E. Duyfjes	Forest Herbarium	Figure 5						https://botany.dnp.go.th/image/flora/9/CUCU_Fig5.jpg
wfo-0000508970	Cucumis melo. Drawing	img-THA-0000508970.1	Forest Herbarium	All rights reserved	jpg	Flora of Thailand		Rachun Pooma			W.J.J.O. de Wilde & B.E.E. Duyfjes	Forest Herbarium	Figure 6						https://botany.dnp.go.th/image/flora/9/CUCU_Fig6.jpg
wfo-0001125321	Cyathea chinensis. Drawing	img-THA-0001125321.1	Forest Herbarium	All rights reserved	jpg	Flora of Thailand		Rachun Pooma			"M. Tagawa, K. Iwatsuki"	Forest Herbarium	"Figure 6: 1–3, 6"						https://botany.dnp.go.th/image/flora/3/PTER_fig6.jpg
wfo-0000631218	Cyathula prostrata. Drawing	img-THA-0000631218.1	Forest Herbarium	All rights reserved	jpg	Flora of Thailand		Rachun Pooma			K. Larsen	Forest Herbarium	Figure 86						https://botany.dnp.go.th/image/flora/5/AMAR_Fig86.jpg
wfo-0000631521	Cycas circinalis. Drawing	img-THA-0000631521.1	Forest Herbarium	All rights reserved	jpg	Flora of Thailand		Rachun Pooma			T. Smitinand	Forest Herbarium	Figure 13						https://botany.dnp.go.th/image/flora/2/CYCA_Fig13.jpg
wfo-0000631521	Cycas circinalis. Drawing	img-THA-0000631521.2	Forest Herbarium	All rights reserved	jpg	Flora of Thailand		Rachun Pooma			T. Smitinand	Forest Herbarium	Figure 14						https://botany.dnp.go.th/image/flora/2/CYCA_Fig14.jpg
wfo-0000631611	Cycas micholitzii. Drawing	img-THA-0000631611.1	Forest Herbarium	All rights reserved	jpg	Flora of Thailand		Rachun Pooma			T. Smitinand	Forest Herbarium	Figure 13						https://botany.dnp.go.th/image/flora/2/CYCA_Fig13.jpg
wfo-0000631611	Cycas micholitzii. Drawing	img-THA-0000631611.2	Forest Herbarium	All rights reserved	jpg	Flora of Thailand		Rachun Pooma			T. Smitinand	Forest Herbarium	Figure 14						https://botany.dnp.go.th/image/flora/2/CYCA_Fig14.jpg
wfo-0000631611	Cycas micholitzii. Drawing	img-THA-0000631611.3	Forest Herbarium	All rights reserved	jpg	Flora of Thailand		Rachun Pooma			T. Smitinand	Forest Herbarium	Figure 15						https://botany.dnp.go.th/image/flora/2/CYCA_Fig15.jpg
wfo-0000631639	Cycas revoluta. Drawing	img-THA-0000631639.1	Forest Herbarium	All rights reserved	jpg	Flora of Thailand		Rachun Pooma			T. Smitinand	Forest Herbarium	Figure 14						https://botany.dnp.go.th/image/flora/2/CYCA_Fig14.jpg
wfo-0000631644	Cycas rumphii. Drawing	img-THA-0000631644.1	Forest Herbarium	All rights reserved	jpg	Flora of Thailand		Rachun Pooma			T. Smitinand	Forest Herbarium	Figure 13						https://botany.dnp.go.th/image/flora/2/CYCA_Fig13.jpg
wfo-0000631644	Cycas rumphii. Drawing	img-THA-0000631644.2	Forest Herbarium	All rights reserved	jpg	Flora of Thailand		Rachun Pooma			T. Smitinand	Forest Herbarium	Figure 14						https://botany.dnp.go.th/image/flora/2/CYCA_Fig14.jpg
wfo-0000631666	Cycas siamensis. Drawing	img-THA-0000631666.1	Forest Herbarium	All rights reserved	jpg	Flora of Thailand		Rachun Pooma			T. Smitinand	Forest Herbarium	Figure 13						https://botany.dnp.go.th/image/flora/2/CYCA_Fig13.jpg
wfo-0000631666	Cycas siamensis. Drawing	img-THA-0000631666.2	Forest Herbarium	All rights reserved	jpg	Flora of Thailand		Rachun Pooma			T. Smitinand	Forest Herbarium	Figure 14						https://botany.dnp.go.th/image/flora/2/CYCA_Fig14.jpg
wfo-0000632046	Cyclea barbata. Drawing	img-THA-0000632046.1	Forest Herbarium	All rights reserved	jpg	Flora of Thailand		Rachun Pooma			L.L. Forman	Forest Herbarium	Figure 73						https://botany.dnp.go.th/image/flora/5/MENI_Fig_73.jpg
wfo-0000632079	Cyclea polypetala . Drawing	img-THA-0000632079.1	Forest Herbarium	All rights reserved	jpg	Flora of Thailand		Rachun Pooma			L.L. Forman	Forest Herbarium	Figure 73						https://botany.dnp.go.th/image/flora/5/MENI_Fig_73.jpg
wfo-0001125570	Cyclopeltis crenata. Drawing	img-THA-0001125570.1	Forest Herbarium	All rights reserved	jpg	Flora of Thailand		Rachun Pooma			"M. Tagawa, K. Iwatsuki"	Forest Herbarium	Figure 37						https://botany.dnp.go.th/image/flora/3/PTER_fig37.jpg
wfo-0000199623	Cynometra craibii. Drawing	img-THA-0000199623.1	Forest Herbarium	All rights reserved	jpg	Flora of Thailand		Rachun Pooma			"K. Larsen, S.S. Larsen, J.E. Vidal"	Forest Herbarium	Figure 10						https://botany.dnp.go.th/image/flora/4/LEGU_Fig10.jpg
wfo-0000199631	Cynometra malaccensis. Drawing	img-THA-0000199631.1	Forest Herbarium	All rights reserved	jpg	Flora of Thailand		Rachun Pooma			"K. Larsen, S.S. Larsen, J.E. Vidal"	Forest Herbarium	Figure 10						https://botany.dnp.go.th/image/flora/4/LEGU_Fig10.jpg
wfo-0000192868	Cynometra ramiflora. Drawing	img-THA-0000192868.1	Forest Herbarium	All rights reserved	jpg	Flora of Thailand		Rachun Pooma			"K. Larsen, S.S. Larsen, J.E. Vidal"	Forest Herbarium	Figure 10						https://botany.dnp.go.th/image/flora/4/LEGU_Fig10.jpg
wfo-0000369738	Cyperus compactus. Drawing	img-THA-0000369738.1	Forest Herbarium	All rights reserved	jpg	Flora of Thailand		Rachun Pooma			"D.A. Simpson, T. Koyama"	Forest Herbarium	Figure 27						https://botany.dnp.go.th/image/flora/6/CYPE_Figure27.jpg
wfo-0000372214	Cyperus dubius. Drawing	img-THA-0000372214.1	Forest Herbarium	All rights reserved	jpg	Flora of Thailand		Rachun Pooma			"D.A. Simpson, T. Koyama"	Forest Herbarium	Figure 28						https://botany.dnp.go.th/image/flora/6/CYPE_Figure28.jpg
wfo-0000379977	Cyperus platystylis. Drawing	img-THA-0000379977.1	Forest Herbarium	All rights reserved	jpg	Flora of Thailand		Rachun Pooma			"D.A. Simpson, T. Koyama"	Forest Herbarium	Figure 26						https://botany.dnp.go.th/image/flora/6/CYPE_Figure26.jpg
wfo-0000380345	Cyperus procerus. Drawing	img-THA-0000380345.1	Forest Herbarium	All rights reserved	jpg	Flora of Thailand		Rachun Pooma			"D.A. Simpson, T. Koyama"	Forest Herbarium	Figure 25						https://botany.dnp.go.th/image/flora/6/CYPE_Figure25.jpg
wfo-0000383810	Cyperus tenuiculmis. Drawing	img-THA-0000383810.1	Forest Herbarium	All rights reserved	jpg	Flora of Thailand		Rachun Pooma			"D.A. Simpson, T. Koyama"	Forest Herbarium	Figure 24						https://botany.dnp.go.th/image/flora/6/CYPE_Figure24.jpg
wfo-0000636137	Cyrtandromoea grandiflora. Drawing	img-THA-0000636137.1	Forest Herbarium	All rights reserved	jpg	Flora of Thailand		Rachun Pooma			T. Yamazaki	Forest Herbarium	Figure 44						https://botany.dnp.go.th/image/flora/5/SCRO_Fig44.jpg
wfo-0000937204	Dalechampia bidentata. Drawing	img-THA-0000937204.1	Forest Herbarium	All rights reserved	jpg	Flora of Thailand		Rachun Pooma			K. Chayamarit & P.C. van Welzen	Forest Herbarium	Appendix of Plates of Euphorbiaceae (A–F) Part 1: Figure 9.						https://botany.dnp.go.th/image/flora/8/EUPH_APP_Fig9.jpg
wfo-0000637556	Daphne composita. Drawing	img-THA-0000637556.1	Forest Herbarium	All rights reserved	jpg	Flora of Thailand		Rachun Pooma			B. Peterson	Forest Herbarium	Figure 95						https://botany.dnp.go.th/image/flora/6/THYM_Figure95.jpg
wfo-0000140484	Davallia corniculata. Drawing	img-THA-0000140484.1	Forest Herbarium	All rights reserved	jpg	Flora of Thailand		Rachun Pooma			"M. Tagawa, K. Iwatsuki"	Forest Herbarium	Figure 12						https://botany.dnp.go.th/image/flora/3/PTER_fig12.jpg
wfo-0000140590	Davallia petelotii. Drawing	img-THA-0000140590.1	Forest Herbarium	All rights reserved	jpg	Flora of Thailand		Rachun Pooma			"M. Tagawa, K. Iwatsuki"	Forest Herbarium	Figure 12						https://botany.dnp.go.th/image/flora/3/PTER_fig12.jpg
wfo-0000140687	Davallodes viscidulum. Drawing	img-THA-0000140687.1	Forest Herbarium	All rights reserved	jpg	Flora of Thailand		Rachun Pooma			"M. Tagawa, K. Iwatsuki"	Forest Herbarium	Figure 12						https://botany.dnp.go.th/image/flora/3/PTER_fig12.jpg
wfo-0000938023	Decaspermum parviflorum. Drawing	img-THA-0000938023.1	Forest Herbarium	All rights reserved	jpg	Flora of Thailand		Rachun Pooma			J. Parnell & P. Chantaranothai	Forest Herbarium	Figure 5						https://botany.dnp.go.th/image/flora/7/MYRT_Figure5.jpg
wfo-0000639165	Deeringia amaranthoides. Drawing	img-THA-0000639165.1	Forest Herbarium	All rights reserved	jpg	Flora of Thailand		Rachun Pooma			K. Larsen	Forest Herbarium	Figure 83						https://botany.dnp.go.th/image/flora/5/AMAR_Fig83.jpg
wfo-0000639179	Deeringia polysperma. Drawing	img-THA-0000639179.1	Forest Herbarium	All rights reserved	jpg	Flora of Thailand		Rachun Pooma			K. Larsen	Forest Herbarium	Figure 83						https://botany.dnp.go.th/image/flora/5/AMAR_Fig83.jpg
wfo-0000641240	Dendrophthoe lanosa. Drawing	img-THA-0000641240.1	Forest Herbarium	All rights reserved	jpg	Flora of Thailand		Rachun Pooma			B.A. Barlow	Forest Herbarium	Figure 2						https://botany.dnp.go.th/image/flora/7/LORA_Figure2.jpg
wfo-0000641542	Dendrotrophe buxifolia. Drawing	img-THA-0000641542.1	Forest Herbarium	All rights reserved	jpg	Flora of Thailand		Rachun Pooma			J. Macklin & J. Parnell	Forest Herbarium	Figure 1						https://botany.dnp.go.th/image/flora/9/SANT_Fig1.jpg
wfo-0000641567	Dendrotrophe varians. Drawing	img-THA-0000641567.1	Forest Herbarium	All rights reserved	jpg	Flora of Thailand		Rachun Pooma			J. Macklin & J. Parnell	Forest Herbarium	Figure 2						https://botany.dnp.go.th/image/flora/9/SANT_Fig2.jpg
wfo-0001107281	Dennstaedtia scabra. Drawing	img-THA-0001107281.1	Forest Herbarium	All rights reserved	jpg	Flora of Thailand		Rachun Pooma			"M. Tagawa, K. Iwatsuki"	Forest Herbarium	Figure 6: 11–14						https://botany.dnp.go.th/image/flora/3/PTER_fig6.jpg
wfo-0001116140	Deparia japonica. Drawing	img-THA-0001116140.1	Forest Herbarium	All rights reserved	jpg	Flora of Thailand		Rachun Pooma			"M. Tagawa, K. Iwatsuki"	Forest Herbarium	Figure 46						https://botany.dnp.go.th/image/flora/3/PTER_fig46.jpg
wfo-0001125347	Diacalpe aspidioides. Drawing	img-THA-0001125347.1	Forest Herbarium	All rights reserved	jpg	Flora of Thailand		Rachun Pooma			"M. Tagawa, K. Iwatsuki"	Forest Herbarium	Figure 28						https://botany.dnp.go.th/image/flora/3/PTER_fig28.jpg
wfo-0000199436	Dialium cochinchinense. Drawing	img-THA-0000199436.1	Forest Herbarium	All rights reserved	jpg	Flora of Thailand		Rachun Pooma			"K. Larsen, S.S. Larsen, J.E. Vidal"	Forest Herbarium	Figure 22						https://botany.dnp.go.th/image/flora/4/LEGU_Fig22.jpg
wfo-0000199437	Dialium indum. Drawing	img-THA-0000199437.1	Forest Herbarium	All rights reserved	jpg	Flora of Thailand		Rachun Pooma			"K. Larsen, S.S. Larsen, J.E. Vidal"	Forest Herbarium	Figure 22						https://botany.dnp.go.th/image/flora/4/LEGU_Fig22.jpg
wfo-0000765197	Dianella ensifolia. Drawing	img-THA-0000765197.1	Forest Herbarium	All rights reserved	jpg	Flora of Thailand		Rachun Pooma			K. Larsen	Forest Herbarium	Figure 1						https://botany.dnp.go.th/image/flora/9/HEME_Fig1.jpg
wfo-0001229927	Dichroa febrifuga. Drawing	img-THA-0001229927.1	Forest Herbarium	All rights reserved	jpg	Flora of Thailand		Rachun Pooma			T. Wongprasert	Forest Herbarium	Figure 1						https://botany.dnp.go.th/image/flora/7/HYDRA_Figure1.jpg
wfo-0001108279	Didymochlaena truncatula. Drawing	img-THA-0001108279.1	Forest Herbarium	All rights reserved	jpg	Flora of Thailand		Rachun Pooma			"M. Tagawa, K. Iwatsuki"	Forest Herbarium	Figure 28						https://botany.dnp.go.th/image/flora/3/PTER_fig28.jpg
wfo-0000145739	Didymoglossum exiguum. Drawing	img-THA-0000145739.1	Forest Herbarium	All rights reserved	jpg	Flora of Thailand		Rachun Pooma			"M. Tagawa, K. Iwatsuki"	Forest Herbarium	Figure 5: 12						https://botany.dnp.go.th/image/flora/3/PTER_fig5.jpg
wfo-0000647780	Dimocarpus fumatus. Drawing	img-THA-0000647780.1	Forest Herbarium	All rights reserved	jpg	Flora of Thailand		Rachun Pooma			P.C. van Welzen	Forest Herbarium	Figure 10a						https://botany.dnp.go.th/image/flora/7/SAPI_figure10.jpg
wfo-0000647780	Dimocarpus fumatus. Drawing	img-THA-0000647780.2	Forest Herbarium	All rights reserved	jpg	Flora of Thailand		Rachun Pooma			P.C. van Welzen	Forest Herbarium	Figure 10b						https://botany.dnp.go.th/image/flora/7/SAPI_figure10.jpg
wfo-0000647787	Dimocarpus longan. Drawing	img-THA-0000647787.1	Forest Herbarium	All rights reserved	jpg	Flora of Thailand		Rachun Pooma			P.C. van Welzen	Forest Herbarium	Figure 1f						https://botany.dnp.go.th/image/flora/7/SAPI_figure1.jpg
wfo-0000647787	Dimocarpus longan. Drawing	img-THA-0000647787.2	Forest Herbarium	All rights reserved	jpg	Flora of Thailand		Rachun Pooma			P.C. van Welzen	Forest Herbarium	Figure 3c						https://botany.dnp.go.th/image/flora/7/SAPI_figure3.jpg
