WFOID	identifier	bibliographicCitation	URI
wfo-0000520282	ref-THA-0000520282	"Adenosma debilis . Flora of Thailand. Vol. 5. Part 2, 1990. Pg. 151. Accessed 2021-07-31"	https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=01084
wfo-0000520284	ref-THA-0000520284	"Adenosma elshollzioides. Flora of Thailand. Vol. 5. Part 2, 1990. Pg. 151. Accessed 2021-07-31"	https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=01086
wfo-0000520291	ref-THA-0000520291	"Adenosma hirsuta. Flora of Thailand. Vol. 5. Part 2, 1990. Pg. 148. Accessed 2021-07-31"	https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=01082
wfo-0000520292	ref-THA-0000520292	"Adenosma indiana. Flora of Thailand. Vol. 5. Part 2, 1990. Pg. 150. Accessed 2021-07-31"	https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=01083
wfo-0000520294	ref-THA-0000520294	"Adenosma javanica. Flora of Thailand. Vol. 5. Part 2, 1990. Pg. 152. Accessed 2021-07-31"	https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=01087
wfo-0000520298	ref-THA-0000520298	"Adenosma microcephala. Flora of Thailand. Vol. 5. Part 2, 1990. Pg. 151. Accessed 2021-07-31"	https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=01085
wfo-0001109469	ref-THA-0001109469	"Adiantum capillus-veneris. Flora of Thailand. Vol. 3. Part 2, 1989. Pg. 214–215. Accessed 2021-07-31"	https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=F0313
wfo-0001107188	ref-THA-0001107188	"Adiantum caudatum. Flora of Thailand. Vol. 3. Part 2, 1989. Pg. 207–208. Accessed 2021-07-31"	https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=F0306
wfo-0001115194	ref-THA-0001115194	"Adiantum edgeworthii. Flora of Thailand. Vol. 3. Part 2, 1989. Pg. 210–211. Accessed 2021-07-31"	https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=F0308
wfo-0000147065	ref-THA-0000147065	"Adiantum erylliae. Flora of Thailand. Vol. 3. Part 2, 1989. Pg. 213. Accessed 2021-07-31"	https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=F0311
wfo-0001107189	ref-THA-0001107189	"Adiantum flabellulatum. Flora of Thailand. Vol. 3. Part 2, 1989. Pg. 215. Accessed 2021-07-31"	https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=F0314
wfo-0001110777	ref-THA-0001110777	"Adiantum philippense. Flora of Thailand. Vol. 3. Part 2, 1989. Pg. 211–212. Accessed 2021-07-31"	https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=F0310
wfo-0000163097	ref-THA-0000163097	"Adiantum siamense. Flora of Thailand. Vol. 3. Part 2, 1989. Pg. 213–214. Accessed 2021-07-31"	https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=F0312
wfo-0001107908	ref-THA-0001107908	"Adiantum soboliferum. Flora of Thailand. Vol. 3. Part 2, 1989. Pg. 211. Accessed 2021-07-31"	https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=F0309
wfo-0001122291	ref-THA-0001122291	"Adiantum stenochlamys. Flora of Thailand. Vol. 3. Part 2, 1989. Pg. 215–216. Accessed 2021-07-31"	https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=F0315
wfo-0001274410	ref-THA-0001274410	"Adiantum zollingeri. Flora of Thailand. Vol. 3. Part 2, 1989. Pg. 208–210. Accessed 2021-07-31"	https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=F0307
wfo-0000520896	ref-THA-0000520896	"Adinandra integerrima. Flora of Thailand. Vol. 2. Part 2, 1972. Pg. 151. Accessed 2021-07-31"	https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00282
wfo-0000520912	ref-THA-0000520912	"Adinandra laotica. Flora of Thailand. Vol. 2. Part 2, 1972. Pg. 152. Accessed 2021-07-31"	https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00283
wfo-0000520952	ref-THA-0000520952	"Adinandra oblonga. Flora of Thailand. Vol. 2. Part 2, 1972. Pg. 151. Accessed 2021-07-31"	https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00281
wfo-0000520976	ref-THA-0000520976	"Adinandra sarosanthera. Flora of Thailand. Vol. 2. Part 2, 1972. Pg. 152. Accessed 2021-07-31"	https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00284
wfo-0000521489	ref-THA-0000521489	"Aegiceras corniculatum. Flora of Thailand. Vol. 6. Part 2, 1996. Pg. 176. Accessed 2021-07-31"	https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=01714
wfo-0000521508	ref-THA-0000521508	"Aeginetia indica. Flora of Thailand. Vol. 9. Part 2, 2008. Pg. 144. Accessed 2021-07-31"	https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=03814
wfo-0000521515	ref-THA-0000521515	"Aeginetia pedunculata. Flora of Thailand. Vol. 9. Part 2, 2008. Pg. 144. Accessed 2021-07-31"	https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=03815
wfo-0000521801	ref-THA-0000521801	"Aerva sanguinolenta. Flora of Thailand. Vol. 5. Part 4, 1992. Pg. 389. Accessed 2021-07-31"	https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=01231
wfo-0000522240	ref-THA-0000522240	"Aesculus assamica. Flora of Thailand. Vol. 2. Part 4, 1981. Pg. 395. Accessed 2021-07-31"	https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00550
wfo-0000186209	ref-THA-0000186209	"Afzelia xylocarpa. Flora of Thailand. Vol. 4. Part 1, 1984. Pg. 127. Accessed 2021-07-31"	https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00777
wfo-0000896264	ref-THA-0000896264	"Aganonerion polymorphum. Flora of Thailand. Vol. 7. Part 1, 1999. Pg. 141. Accessed 2021-07-31"	https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=02281
wfo-0000897002	ref-THA-0000897002	"Aganosma breviloba. Flora of Thailand. Vol. 7. Part 1, 1999. Pg. 104. Accessed 2021-07-31"	https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=02237
wfo-0000897552	ref-THA-0000897552	"Aganosma cymosa. Flora of Thailand. Vol. 7. Part 1, 1999. Pg. 105. Accessed 2021-07-31"	https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=02238
wfo-0000899440	ref-THA-0000899440	"Aganosma marginata. Flora of Thailand. Vol. 7. Part 1, 1999. Pg. 106. Accessed 2021-07-31"	https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=02239
wfo-0000900309	ref-THA-0000900309	"Aganosma schlechteriana. Flora of Thailand. Vol. 7. Part 1, 1999. Pg. 106. Accessed 2021-07-31"	https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=02240
wfo-0000900621	ref-THA-0000900621	"Aganosma siamensis. Flora of Thailand. Vol. 7. Part 1, 1999. Pg. 108. Accessed 2021-07-31"	https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=02241
wfo-0000900824	ref-THA-0000900824	"Aganosma wallichii. Flora of Thailand. Vol. 7. Part 1, 1999. Pg. 108. Accessed 2021-07-31"	https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=02242
wfo-0000523712	ref-THA-0000523712	"Agelaea borneensis. Flora of Thailand. Vol. 2. Part 2, 1972. Pg. 120. Accessed 2021-07-31"	https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00226
wfo-0000523801	ref-THA-0000523801	"Agelaea trinervis. Flora of Thailand. Vol. 2. Part 2, 1972. Pg. 119. Accessed 2021-07-31"	https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00225
wfo-0001125793	ref-THA-0001125793	"Aglaomorpha coronans. Flora of Thailand. Vol. 3. Part 4, 1989. Pg. 551–552. Accessed 2021-07-31"	https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=F0739
wfo-0000993131	ref-THA-0000993131	"Agrimonia nepalensis. Flora of Thailand. Vol. 2. Part 1, 1970. Pg. 63. Accessed 2021-07-31"	https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00116
wfo-0000925540	ref-THA-0000925540	"Agrostistachys borneensis. Flora of Thailand. Vol. 8. Part 1, 2005. Pg. 41. Accessed 2021-07-31"	https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=03141
wfo-0000925579	ref-THA-0000925579	"Agrostistachys gaudichaudii. Flora of Thailand. Vol. 8. Part 1, 2005. Pg. 42. Accessed 2021-07-31"	https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=03142
wfo-0000925599	ref-THA-0000925599	"Agrostistachys indica. Flora of Thailand. Vol. 8. Part 1, 2005. Pg. 43. Accessed 2021-07-31"	https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=03143
wfo-0001140390	ref-THA-0001140390	"Ailanthus triphysa. Flora of Thailand. Vol. 2. Part 4, 1981. Pg. 440. Accessed 2021-07-31"	https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00585
wfo-0000524959	ref-THA-0000524959	"Albertisia papuana . Flora of Thailand. Vol. 5. Part 3, 1991. Pg. 308. Accessed 2021-07-31"	https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=01422
wfo-0000524966	ref-THA-0000524966	"Albertisia puberula . Flora of Thailand. Vol. 5. Part 3, 1991. Pg. 308. Accessed 2021-07-31"	https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=01423
wfo-0000192577	ref-THA-0000192577	"Albizia attopeuensis. Flora of Thailand. Vol. 4. Part 2, 1985. Pg. 183. Accessed 2021-07-31"	https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00834
wfo-0000182103	ref-THA-0000182103	"Albizia chinensis. Flora of Thailand. Vol. 4. Part 2, 1985. Pg. 188. Accessed 2021-07-31"	https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00837
wfo-0000196892	ref-THA-0000196892	"Albizia corniculata. Flora of Thailand. Vol. 4. Part 2, 1985. Pg. 197. Accessed 2021-07-31"	https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00845
wfo-0000196901	ref-THA-0000196901	"Albizia crassiramea. Flora of Thailand. Vol. 4. Part 2, 1985. Pg. 192. Accessed 2021-07-31"	https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00841
wfo-0000199744	ref-THA-0000199744	"Albizia garrettii. Flora of Thailand. Vol. 4. Part 2, 1985. Pg. 184. Accessed 2021-07-31"	https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00835
