WFOID	localId
wfo-0000572659	606
wfo-0000572679	607
wfo-0000572690	608
wfo-0000572705	609
wfo-0000572711	610
wfo-0000572742	611
wfo-0000572750	613
wfo-0000572758	614
wfo-0000572763	615
wfo-0000573560	616
wfo-0000573579	617
wfo-0000573786	618
wfo-0000573923	619
wfo-0000574133	620
wfo-0000574137	621
wfo-0000574187	622
wfo-0000342079	623
wfo-0000342153	624
wfo-0000342305	625
wfo-0000575875	626
wfo-0000576002	627
wfo-0000576009	628
wfo-0000762564	629
wfo-0001269413	630
wfo-0000577123	631
wfo-0000577179	632
wfo-0000577299	633
wfo-0000186378	634
wfo-0000214186	635
wfo-0000164573	636
wfo-0000187461	637
wfo-0000214241	638
wfo-0000214253	639
wfo-0000196960	640
wfo-0000199375	641
wfo-0000199378	642
wfo-0000188102	643
wfo-0000178132	644
wfo-0000196945	645
wfo-0000185054	646
wfo-0000199396	647
wfo-0000199400	648
wfo-0000214363	649
wfo-0000214430	650
wfo-0000762632	651
wfo-0000762635	652
wfo-0000775642	653
wfo-0001116506	654
wfo-0000778236	655
wfo-0000580855	656
wfo-0001252740	657
wfo-0001120248	658
wfo-0000582291	659
wfo-0000582598	661
wfo-0000582677	662
wfo-0000582705	663
wfo-0000582708	664
wfo-0000781858	665
wfo-0001214872	666
wfo-0000343805	667
wfo-0000343790	668
wfo-0000584001	669
wfo-0000584025	670
wfo-0000584026	671
wfo-0000584030	672
wfo-0000584031	673
wfo-0000584038	674
wfo-0000584041	675
wfo-0000584055	676
wfo-0000584088	677
wfo-0000584458	678
wfo-0000584501	679
wfo-0000584566	680
wfo-0000584657	681
wfo-0000584674	682
wfo-0000584687	683
wfo-0000584708	684
wfo-0000584717	685
wfo-0000584752	686
wfo-0000584815	687
wfo-0000584819	688
wfo-0000584901	689
wfo-0000584915	690
wfo-0000585026	691
wfo-0000585033	692
wfo-0000585045	693
wfo-0000585057	694
wfo-0000585089	695
wfo-0000585113	696
wfo-0000585130	697
wfo-0000585210	699
wfo-0000585218	700
wfo-0000585270	701
wfo-0000585272	702
wfo-0000585299	703
wfo-0000586012	704
wfo-0000586648	705
wfo-0000586924	706
wfo-0000802651	707
wfo-0000587875	708
wfo-0000344453	709
wfo-0000344790	710
wfo-0000344964	711
wfo-0000345107	712
wfo-0000345393	713
wfo-0000345620	714
wfo-0000345638	715
wfo-0000345650	716
wfo-0000345702	717
wfo-0000345741	718
wfo-0000345798	720
wfo-0000346070	721
wfo-0000346208	722
wfo-0000346524	723
wfo-0000346584	724
wfo-0000347385	725
wfo-0000347544	726
wfo-0000347613	727
wfo-0000347696	728
wfo-0000347699	729
wfo-0000347701	730
wfo-0000347880	732
wfo-0000348055	733
wfo-0000348640	734
wfo-0000349203	736
wfo-0000349484	737
wfo-0000349924	738
wfo-0000349988	739
wfo-0000350022	740
wfo-0000350135	741
wfo-0000350296	742
wfo-0000350406	743
wfo-0000351241	744
wfo-0000351421	745
wfo-0001364366	746
wfo-0000351427	747
wfo-0000351428	748
wfo-0000351585	749
wfo-0000351703	750
wfo-0000351861	751
wfo-0000351965	752
wfo-0000351974	753
wfo-0000352084	754
wfo-0000588009	755
wfo-0000803077	756
wfo-0000803913	757
wfo-0000588055	758
wfo-0000214636	759
wfo-0000214708	760
wfo-0000214719	761
wfo-0000192840	762
wfo-0000214812	763
wfo-0000163802	764
wfo-0000163856	765
wfo-0000186535	766
wfo-0000163908	767
wfo-0000163963	768
wfo-0000164126	769
wfo-0000184994	770
wfo-0000164147	771
wfo-0000589230	772
wfo-0000164336	773
wfo-0000164441	774
wfo-0000185224	775
wfo-0000164734	776
wfo-0000164848	777
wfo-0000164866	778
wfo-0000180595	779
wfo-0000187196	780
wfo-0000164962	782
wfo-0000165003	783
wfo-0000812678	784
wfo-0000812715	785
wfo-0000812734	786
wfo-0000812757	787
wfo-0000812906	788
wfo-0000812946	789
wfo-0000813079	790
wfo-0000813291	791
wfo-0000813310	792
wfo-0000813584	793
wfo-0000813747	795
wfo-0000813768	796
wfo-0000813808	797
wfo-0000814085	799
wfo-0000814096	800
wfo-0000814107	801
wfo-0000814266	802
wfo-0000814427	803
wfo-0000814450	804
wfo-0000814581	805
wfo-0000814811	806
wfo-0000814822	807
wfo-0000792524	808
wfo-0000814876	809
wfo-0000814976	810
wfo-0000815011	811
wfo-0000815066	812
wfo-0000815159	813
wfo-0000792525	814
wfo-0000815457	815
wfo-0000815623	816
wfo-0000590691	818
wfo-0000819442	819
wfo-0000187712	820
wfo-0000592594	821
wfo-0000593019	822
wfo-0000594096	823
wfo-0000594240	824
wfo-0000594243	826
wfo-0000594260	827
wfo-0000594262	828
wfo-0000353066	829
wfo-0001046037	830
wfo-0001226984	831
wfo-0000145649	832
wfo-0001124572	833
wfo-0000145652	834
wfo-0001226987	835
wfo-0000594956	837
wfo-0001107241	838
wfo-0000834469	839
wfo-0000834592	840
wfo-0000597945	842
wfo-0000836079	843
wfo-0000599823	844
wfo-0001118134	845
wfo-0000141787	846
wfo-0001107933	847
wfo-0001124059	848
wfo-0001123974	849
wfo-0001116579	850
wfo-0000142821	851
wfo-0001233328	852
wfo-0001118689	853
wfo-0000143037	854
wfo-0001124048	855
wfo-0001115235	856
wfo-0001117301	857
wfo-0000600974	858
wfo-0000601268	859
wfo-0000843313	860
wfo-0000843376	861
wfo-0000830025	862
wfo-0000830051	863
wfo-0000830053	864
wfo-0000830077	865
wfo-0000830094	866
wfo-0000830161	867
wfo-0000830166	868
wfo-0000830170	869
wfo-0000830171	870
wfo-0000830194	871
wfo-0000830215	872
wfo-0000830246	874
wfo-0000830253	875
wfo-0000830260	876
wfo-0001248451	877
wfo-0000603119	878
wfo-0000603131	879
wfo-0000851541	880
wfo-0000851705	881
wfo-0000851743	882
wfo-0000851796	883
wfo-0001117730	885
wfo-0001128377	886
wfo-0000603659	887
wfo-0000852711	888
wfo-0000830291	889
wfo-0000748037	890
wfo-0000605821	891
wfo-0000605882	892
wfo-0000607858	893
wfo-0000869122	894
wfo-0000870131	895
wfo-0000870422	896
wfo-0000870834	897
wfo-0000871145	898
wfo-0000872115	899
wfo-0000872166	900
wfo-0000872254	901
wfo-0000872362	902
wfo-0000876036	903
wfo-0000876058	904
wfo-0000876323	905
wfo-0000876356	906
wfo-0000876378	907
wfo-0000876400	908
wfo-0000876411	909
wfo-0000876709	910
wfo-0000876930	911
wfo-0000877159	912
wfo-0000877326	913
wfo-0000877367	914
wfo-0000877515	915
wfo-0000877781	916
wfo-0000877796	917
wfo-0000878810	918
wfo-0000878851	919
wfo-0001233989	921
wfo-0000878890	922
wfo-0000878972	923
wfo-0000611189	924
wfo-0000611317	925
wfo-0000611568	926
wfo-0000611671	927
wfo-0000611772	928
wfo-0001080580	929
wfo-0000898219	930
wfo-0000898248	931
wfo-0000898259	932
wfo-0000612722	933
wfo-0000612919	934
wfo-0000613546	935
wfo-0000613563	936
wfo-0000613595	937
wfo-0000905170	938
wfo-0000917221	939
wfo-0000615146	940
wfo-0000615151	941
wfo-0000615154	942
wfo-0000615157	943
wfo-0000615158	944
wfo-0000615166	945
wfo-0000615185	946
wfo-0001117223	947
wfo-0001115934	948
wfo-0001117823	949
wfo-0001125788	950
wfo-0001107252	951
wfo-0001125785	952
wfo-0000617045	953
wfo-0001117709	954
wfo-0001125532	955
wfo-0001124138	956
wfo-0001107255	957
wfo-0000618040	958
wfo-0000618079	959
wfo-0000618165	961
wfo-0000618197	962
wfo-0000618214	963
wfo-0000618259	964
wfo-0000619993	965
wfo-0000620030	966
wfo-0000620125	967
wfo-0000620174	968
wfo-0000764243	969
wfo-0000621274	970
wfo-0001116747	971
