taxonID,description,type,language,contributor,audience,rightsHolder,creator,source,rights,license
wfo-0000086034,"originaire d’Amérique centrale, maintenant une mauvaise herbe pantropicale, y compris le Nigéria, le Cameroun, la République démocratique du Congo et l’Angola ; au Gabon, connu de l’Estuaire et de l’Ogooué-Maritime.",distribution,fre,,,,,ref-Gbn-0000086034,,
wfo-0000089902,"dans la plupart des tropiques de l’Ancien Monde, en Afrique, y compris le Nigéria, le Cameroun, Sao Tomé-et-Principe, la Guinée équatoriale, la République du Congo, la République Centrafricaine et la République démocratique du Congo ; au Gabon, connu de l’Estuaire, du Haut-Ogooué, de la Ngounié, de la Nyanga, de l’Ogooué-Ivindo, de l’Ogooué-Lolo, de l’Ogooué-Maritime et du Woleu-Ntem.",distribution,fre,,,,,ref-Gbn-0000089902,,
wfo-0000090813,"en Afrique centrale, orientale et australe, y compris la République du Congo, la République démocratique du Congo et l’Angola ; au Gabon, connu de l’Ogooué-Lolo (un seul spécimen ancien).",distribution,fre,,,,,ref-Gbn-0000090813,,
wfo-0000093042,"dans toute l’Afrique tropicale et l’Asie tropicale, y compris le Nigéria, le Cameroun, Sao Tomé-et-Principe, la République du Congo et la République démocratique du Congo ; au Gabon, connu de l’Estuaire, du Haut-Ogooué, de la Nyanga et de l’Ogooué-Ivindo.",distribution,fre,,,,,ref-Gbn-0000093042,,
wfo-0000095596,"Afrique tropicale, du Sénégal à l’Éthiopie et au sud, jusqu’en Angola et au Mozambique ; y compris le Nigéria, le Cameroun, la République du Congo, la République démocratique du Congo et la République Centrafricaine ; au Gabon, connu du Haut-Ogooué, de la Nyanga, de l’Ogooué-Ivindo et de l’Ogooué-Lolo.",distribution,fre,,,,,ref-Gbn-0000095596,,
wfo-0000095907,"Afrique de l’Ouest, centrale et du Sud-Est, y compris le Nigéria, le Cameroun, la République du Congo, la République démocratique du Congo, la République Centrafricaine et l’Angola ; au Gabon, connu du Haut-Ogooué et de l’Ogooué-Lolo.",distribution,fre,,,,,ref-Gbn-0000095907,,
wfo-0000096838,"Soudan, Éthiopie, République du Congo, République démocratique du Congo, Ouganda, Kenya, Tanzanie ; au Gabon, connu de la Ngounié, de l’Ogooué-Ivindo, de l’Ogooué-Lolo, de l’Ogooué-Maritime et du Woleu-Ntem.",distribution,fre,,,,,ref-Gbn-0000096838,,
wfo-0000101222,"République démocratique du Congo, Rwanda, Burundi, Soudan, Éthiopie, Ouganda, Kenya, Tanzanie, Zambie, Malawi, Mozambique, Zimbabwe, Afrique du Sud, Madagascar, Comores et Yémen ; au Gabon, connu de l’Estuaire et du Haut-Ogooué.",distribution,fre,,,,,ref-Gbn-0000101222,,
wfo-0000101479,"originaire des Amériques, mais se propageant maintenant dans les tropiques de l’Ancien Monde ; en Afrique, présent maintenant en Guinée, en Sierra Léone, au Bénin, au Nigéria, au Gabon, en République démocratique du Congo, au Zimbabwe et en Afrique du Sud ; au Gabon, connu de l’Estuaire.",distribution,fre,,,,,ref-Gbn-0000101479,,
wfo-0000104680,"répandu en Afrique tropicale, Afrique de l’ouest, du Libéria au Cameroun ; au Soudan, en Éthiopie et au sud, jusqu’en Afrique du Sud ; Madagascar, Comores, Maurice et La Réunion ; au Gabon, connu de l’Estuaire, du Haut-Ogooué, de la Ngounié et de l’Ogooué-Maritime.",distribution,fre,,,,,ref-Gbn-0000104680,,
wfo-0000108811,"mauvaise herbe pantropicale, répandue en Afrique, y compris le Nigéria, le Cameroun, Sao Tomé-et-Principe, la Guinée équatoriale, la République du Congo, la République démocratique du Congo et l’Angola ; au Gabon, connue de l’Estuaire, du Haut-Ogooué, de la Ngounié, de l’Ogooué-Ivindo, de l’Ogooué-Maritime et du Woleu-Ntem.",distribution,fre,,,,,ref-Gbn-0000108811,,
wfo-0000112521,"répandu en Afrique tropicale, y compris le Nigéria, le Cameroun, la République du Congo, la République démocratique du Congo et l’Angola ; au Gabon, connu du Haut-Ogooué.",distribution,fre,,,,,ref-Gbn-0000112521,,
wfo-0000112889,"répandu dans les tropiques de l’Ancien Monde, y compris le Nigéria, le Cameroun, la République du Congo, la République démocratique du Congo, la République Centrafricaine et l’Angola ; au Gabon, connu de l’Estuaire, de la Ngounié et de l’Ogooué-Lolo.",distribution,fre,,,,,ref-Gbn-0000112889,,
wfo-0000113385,"présent au Gabon, en République du Congo, en République démocratique du Congo et en Angola ; au Gabon, connu de la Ngounié, de la Nyanga, de l’Ogooué-Ivindo, de l’Ogooué-Lolo et de l’Ogooué-Maritime.",distribution,fre,,,,,ref-Gbn-0000113385,,
wfo-0000113908,"répandu en Afrique de l’Ouest et centrale, y compris au Nigéria, au Cameroun, en Guinée équatoriale, en République du Congo, en République démocratique du Congo, en République Centrafricaine et en Angola ; au Gabon, connu de toutes les provinces.",distribution,fre,,,,,ref-Gbn-0000113908,,
wfo-0000115943,"pantropical et subtropical, s’étendant également dans certaines zones tempérées ; répandu en Afrique, notamment au Nigéria, au Cameroun, à Sao Tomé-et-Principe, en République du Congo, en République démocratique du Congo, en République Centrafricaine et en Angola ; au Gabon, connu de l’Estuaire, du Haut-Ogooué, du Moyen-Ogooué et de l’Ogooué-Ivindo.",distribution,fre,,,,,ref-Gbn-0000115943,,
wfo-0000122653,"répandu en Afrique tropicale, notamment au Nigéria, au Cameroun, en Guinée équatoriale et en République démocratique du Congo ; au Gabon, connu de l’Estuaire, de la Nyanga, de l’Ogooué-Ivindo et du Woleu-Ntem.",distribution,fre,,,,,ref-Gbn-0000122653,,
