taxonID,description,type,language,contributor,audience,rightsHolder,creator,source,rights,license
wfo-0000172847,"Le bois est utilisé pour des constructions temporaires, en charpenterie et sculpture et comme bois de feu. Ailleurs, on l’utilise comme coupe-vent et en médecine locale. Les feuilles servent de fourrage. Quelques populations mangent les feuilles bouillies. Les graines sont grillées en temps de disette et consommées en petite quantité, sinon elles sont indigestes ou même toxiques.",use,fre,,,,,ref-Gbn-0000172847,,
wfo-0000172858,"Le bois beau et durable est utilisé pour la charpenterie et l’ébénisterie, des instruments de musique, comme le tambour, le xylophone ; aussi pour la teinturerie et la confection de pirogues. Un des 10 espèces commerciales de bois les plus importantes au Gabon.<p> En mélange, la résine (kino) est médicinale contre diverses affections et comme pommade de la peau. L’écorce est utilisée contre l’anémie, l’infertilité des femmes, comme galactagogue et pour soigner l’utérus (Towns & van Andel 2014).</p>",use,fre,,,,,ref-Gbn-0000172858,,
wfo-0000172866,"Le bois rouge est semblable à celui de P. soyauxii, il est probablement vendu comme tel et utilisé pour la menuiserie et l’ébénisterie. La macération du bois produit une teinture rouge qui sert à embellir le corps.",use,fre,,,,,ref-Gbn-0000172866,,
wfo-0000173025,Les plantes servent comme fourrage et sont un engrais vert potentiel.,use,fre,,,,,ref-Gbn-0000173025,,
wfo-0000173255,: Le bois très léger est utilisé comme liège des filets et pour la fabrication de sièges (en République démocratique du Congo).,use,fre,,,,,ref-Gbn-0000173255,,
wfo-0000173414,"La plante est une herbe de fourrage et d’engrais vert, parfois considérée comme invasive. Aux Indes, on utilise le cœur de la tige (Shola pith) pour des objets d’art.",use,fre,,,,,ref-Gbn-0000173414,,
wfo-0000174378,"L’arachide est la deuxième culture oléagineuse dans le monde (après le soja, Glycine max (L.) Merr.). Les graines sont aussi riches en protéines, et sont consommées, grillées ou cuites, souvent comme grignotage. Elles produisent une huile utilisée pour la cuisson ou ajoutée aux sauces, parfois utilisée pour des médicaments traditionnels. Le feuillage et les tourteaux font le délice du bétail. En 2012 et 2013, la production au Gabon était de 24 000 tonnes (FAOSTAT, 2014). Les espèces américaines apparentées servent comme souches améliorantes de l’arachide. Il existe aussi des espèces qui servent comme engrais vert.",use,fre,,,,,ref-Gbn-0000174378,,
wfo-0000176136,"Au Kenya, les feuilles sont appliquées contre le rhumatisme et autres douleurs ; au Sénégal, contre les maux de tête. En Asie, les usages sont médicinaux et ichtyotoxiques, aussi utilisé comme tuteur et plante d’ombrage.",use,fre,,,,,ref-Gbn-0000176136,,
wfo-0000176332,Une plante bonne à brouter. Elle a plusieurs usages médicinaux en Afrique.,use,fre,,,,,ref-Gbn-0000176332,,
wfo-0000176343,"Une plante bonne à brouter, mais inférieure à S. guianensis. Elle a plusieurs usages médicinaux en Afrique.",use,fre,,,,,ref-Gbn-0000176343,,
wfo-0000176386,La plante donne un bon fourrage et de l’engrais vert. Elle est aussi utilisée comme plante de couverture.,use,fre,,,,,ref-Gbn-0000176386,,
wfo-0000176622,"Une plante fourragère et médicinale. Les feuilles semblent être une drogue pour se relâcher et dormir et aussi un hallucinogène (Amérique du Sud). À cause de la confusion avec les espèces proches, les usages peuvent également avoir été confondus.",use,fre,,,,,ref-Gbn-0000176622,,
wfo-0000176873,La plante produit un bon fourrage. Feuilles et racines ont des propriétés médicinales contre la fièvre et la toux et la plante est utilisée dans divers pays africains.,use,fre,,,,,ref-Gbn-0000176873,,
wfo-0000176915,"Bon fourrage et plante de couverture, mais aussi considérée comme mauvaise herbe.",use,fre,,,,,ref-Gbn-0000176915,,
wfo-0000177100,Pourrait être un bon fourrage.,use,fre,,,,,ref-Gbn-0000177100,,
wfo-0000177164,Utilisée comme plante de couverture et engrais vert.,use,fre,,,,,ref-Gbn-0000177164,,
wfo-0000177343,Un très bon fourrage pour le bétail et avec plusieurs applications médicinales.,use,fre,,,,,ref-Gbn-0000177343,,
wfo-0000177430,"Autrefois, utilisée comme plante de couverture, mais aujourd’hui cette pratique n’est plus appliquée.",use,fre,,,,,ref-Gbn-0000177430,,
wfo-0000177471,"Utilisée comme fourrage et plante de couverture, mais à importance limitée.",use,fre,,,,,ref-Gbn-0000177471,,
wfo-0000177482,": La plante peut servir d’alternative à un gazon, comme plante de couverture, fourrage et engrais vert, mais la production est faible.",use,fre,,,,,ref-Gbn-0000177482,,
wfo-0000177537,"Hors du Gabon, cette espèce a des usages médicinaux.",use,fre,,,,,ref-Gbn-0000177537,,
wfo-0000177943,"Utilisée en Côte-d’Ivoire dans le traitement des affections bronchiques, l’angine, des douleurs fébriles et de la dysenterie.",use,fre,,,,,ref-Gbn-0000177943,,
wfo-0000177956,"La var. hookeri est une plante médicinale à multiple usage ou à usage magique, dans plusieurs pays africaines.",use,fre,,,,,ref-Gbn-0000177956,,
wfo-0000178000,L’espèce est importante dans l’alimentation humaine et animale et a plusieurs usages médicinaux et magiques en Afrique et en Asie.,use,fre,,,,,ref-Gbn-0000178000,,
wfo-0000178440,Le feuillage sert comme engrais vert. La plante entière est un ichtyotoxique pour les poissons d’eau saumâtre.,use,fre,,,,,ref-Gbn-0000178440,,
wfo-0000178504,"Les feuilles servent comme engrais vert. L’espèce est aussi utilisée pour la production de fibres, charbon, et diverses usages médicinaux.",use,fre,,,,,ref-Gbn-0000178504,,
