"id","description","type","source","language","identifier","bibliographicCitation","url"
"wfo-0000131546","Killians Pass to Kamiesberg Mountains.","Distribution","72D832F7-641A-4D38-A2DF-B4B6C5905BD0","English","72D832F7-641A-4D38-A2DF-B4B6C5905BD0","Herman, PPJ. 2013. Asteraceae: Chrysocoma. In: DA Snijman (ed.), Plants of the Greater Cape Floristic Region 2: The Extra Cape flora, Strelitzia 30: 279-280. South African National Biodiversity Institute, Pretoria. [CC BY]",""
"wfo-0000139243","Yzerfontein to Transkei.","Distribution","C3ABEC19-455A-4D1B-A3CA-DB66E36F4330","English","C3ABEC19-455A-4D1B-A3CA-DB66E36F4330","Manning, JC; Goldblatt, P. 2012. Asteraceae: Metalasia R.Br. In: J Manning & P Goldblatt (eds), Plants of the Greater Cape Floristic Region 1: The Core Cape flora, Strelitzia 29: 395-398. South African National Biodiversity Institute, Pretoria. [CC BY]",""
"wfo-0000131642","Roggeveld to Hex River Mountains and Matjiesfontein to Lesotho.","Distribution","26CA9255-29A1-41DD-BE5B-67E5694DDBD4","English","26CA9255-29A1-41DD-BE5B-67E5694DDBD4","Manning, JC. 2013. Asteraceae: Euryops. In: DA Snijman (ed.), Plants of the Greater Cape Floristic Region 2: The Extra Cape flora, Strelitzia 30: 288-290. South African National Biodiversity Institute, Pretoria. [CC BY]",""
"wfo-0000139366","Swellendam to Port Elizabeth.","Distribution","1AF1F066-AD69-4461-96EA-42514ACD3999","English","1AF1F066-AD69-4461-96EA-42514ACD3999","Manning, JC; Goldblatt, P. 2012. Asteraceae: Senecio L. In: J Manning & P Goldblatt (eds), Plants of the Greater Cape Floristic Region 1: The Core Cape flora, Strelitzia 29: 415-423. South African National Biodiversity Institute, Pretoria. [CC BY]",""
"wfo-0000139377","Botterkloof to N Cedarberg.","Distribution","C6D0C773-EDBF-4197-B9D2-8ACDFC3D61C4","English","C6D0C773-EDBF-4197-B9D2-8ACDFC3D61C4","Manning, JC; Goldblatt, P. 2012. Asteraceae: Euryops (Cass.) Cass. In: J Manning & P Goldblatt (eds), Plants of the Greater Cape Floristic Region 1: The Core Cape flora, Strelitzia 29: 372-375. South African National Biodiversity Institute, Pretoria. [CC BY]",""
"wfo-0000139377","E. tagetoides is known from a limited area in the northern Cedarbergen-Bidouw Mountains-Botterkloof area.","Distribution","EF05C6D6-15EA-435C-8930-9CF3FF2B2103","English","EF05C6D6-15EA-435C-8930-9CF3FF2B2103","Nordenstam, RB. 1968. The genus Euryops I. Opera Bot. 20: 7-409. [All rights reserved]",""
"wfo-0000131673","Richtersveld to Springbok and near Soebatsfontein.","Distribution","F96A3CCC-F1EB-46E4-A4D1-9F89C1BAEA97","English","F96A3CCC-F1EB-46E4-A4D1-9F89C1BAEA97","Herman, PPJ. 2013. Asteraceae: Felicia. In: DA Snijman (ed.), Plants of the Greater Cape Floristic Region 2: The Extra Cape flora, Strelitzia 30: 290-293. South African National Biodiversity Institute, Pretoria. [CC BY]",""
"wfo-0000131752","Klein Swartberg and Warmwaterberg.","Distribution","0934C85A-2BCD-4C00-86F3-791A7BD86A1E","English","0934C85A-2BCD-4C00-86F3-791A7BD86A1E","Manning, JC; Goldblatt, P. 2012. Asteraceae: Dicoma Cass. In: J Manning & P Goldblatt (eds), Plants of the Greater Cape Floristic Region 1: The Core Cape flora, Strelitzia 29: 368-368. South African National Biodiversity Institute, Pretoria. [CC BY]",""
"wfo-0000132090","Cape Peninsula to Betty's Bay.","Distribution","9A2B3732-81D5-4299-B85B-95CDE9C9FFBD","English","9A2B3732-81D5-4299-B85B-95CDE9C9FFBD","Manning, JC; Goldblatt, P. 2012. Asteraceae: Capelio B.Nord. In: J Manning & P Goldblatt (eds), Plants of the Greater Cape Floristic Region 1: The Core Cape flora, Strelitzia 29: 362-362. South African National Biodiversity Institute, Pretoria. [CC BY]",""
"wfo-0000142616","The species is thus far confined to the northern and northwestern Transvaal, but might extend into the central Transvaal, southeastern Botswana and SWA/Namibia, from where doubtful, poor specimens were seen. Its occurrence must be termed rare and local.","Distribution","1E2A7576-1EF6-492F-9A6A-6A211531A214","English","1E2A7576-1EF6-492F-9A6A-6A211531A214","Jacobsen, WBG. 1983. The ferns and fern allies of southern Africa. Butterworth Publishers (Pty) Ltd, Durban. [All rights reserved]",""
