wfo_id,description,citation,language
wfo-0000488809,"Morphology: Herbs annus vel perennes, subalbiflors vel albo-viridiflors. Alae subellipticae, usque ad 5.5 mm latae. Crista parva, usque 2.5 mm. Capsula anguste alata; ala usque 0.5 mm lata.
Diagnostic: Hierbas ± crasiusculas; flores subcilindricas, crasas; lobulo impar de la caruncula excepcio- nalmente largo, alcanzando la base de la semilla.
Distribution: Sudafrica (provincia de El Cabo).","De Paiva, JAR. 1998. Polygalarum africanarum et madagascariensium prodromus atque gerontogaei generis Heterosamara Kuntze, a genere polygala L. segregati et a nobis denuo recepti, synopsis monographica. Fontqueria 50: 1-346. [All rights reserved]",Spanish
wfo-0000721583,"Habitat: Orlas de bosques y bosques riberenos, 900-1600 m.","De Paiva, JAR. 1998. Polygalarum africanarum et madagascariensium prodromus atque gerontogaei generis Heterosamara Kuntze, a genere polygala L. segregati et a nobis denuo recepti, synopsis monographica. Fontqueria 50: 1-346. [All rights reserved]",Spanish
wfo-0001100339,"Morphology: Arbustos o subarbustos. Hojas alternas, mas raramente opuestas. Flores en racimos terminales o laterales y patentes. Sepalos libres, persistentes, los externos carinados; alas grandes, cubren la capsula. Petalo superior profundamente bilobado a subentero; quilla ampliamente crestada. Estambres fertiles ocho. Capsula aplanado elipsoide o aplanado obovoide, alada. Semillas carunculadas, pubescentes.
Diagnostic: Hierbas pauciramificadas, 15-25 cm; hojas 8-20 x 1.5-2 mm, linear lanceoladas, agudas, racimos 4-12 flores.
Habitat: Zonas con abundantes gramineas.
Distribution: Sudáfrica (provincia de El Cabo).","De Paiva, JAR. 1998. Polygalarum africanarum et madagascariensium prodromus atque gerontogaei generis Heterosamara Kuntze, a genere polygala L. segregati et a nobis denuo recepti, synopsis monographica. Fontqueria 50: 1-346. [All rights reserved]",Spanish
wfo-0001100357,"Morphology: Arbustos o subarbustos. Hojas alternas, mas raramente opuestas. Flores en racimos terminales o laterales y patentes. Sepalos libres, persistentes, los externos carinados; alas grandes, cubren la capsula. Petalo superior profundamente bilobado a subentero; quilla ampliamente crestada. Estambres fertiles ocho. Capsula aplanado elipsoide o aplanado obovoide, alada. Semillas carunculadas, pubescentes. Hierbas muy ramificadas desde la base, 8-10(15) cm; hojas 6-10 x 2-2.5 mm, elipticas, obtusas o agudas; racimos paucifloros, 3-4 flores.
Habitat: Zonas con abundantes gramineas y estepas rocosas de alta montana. Esta especie se distingue facilmente de Polygala bowkem Harv. y Polygala scabra L. porque esta muy ramificada desde la base, con las ramas estriado cuadrangulares.
Distribution: Sudáfrica (provincia de El Cabo).","De Paiva, JAR. 1998. Polygalarum africanarum et madagascariensium prodromus atque gerontogaei generis Heterosamara Kuntze, a genere polygala L. segregati et a nobis denuo recepti, synopsis monographica. Fontqueria 50: 1-346. [All rights reserved]",Spanish
wfo-0001100358,"Morphology: Herbs annus vel perennes, subalbiflors vel albo-viridiflors. Alae subellipticae, usque ad 5.5 mm latae. Crista parva, usque 2.5 mm. Capsula anguste alata; ala usque 0.5 mm lata. Pedicelo cilindrico de 2.5-3 mm; alas 8 x 5 mm, elipticas; cresta poco fimbriada, no alcanzando el margen de la quilla, 1.5-1.75 mm; petalo superior asimetricamente emarginado;semilla 4 x 1.5-1.75 mm.
Habitat: Zonas con abundantes gramineas.
Distribution: Sur de Africa. Sudafrica.","De Paiva, JAR. 1998. Polygalarum africanarum et madagascariensium prodromus atque gerontogaei generis Heterosamara Kuntze, a genere polygala L. segregati et a nobis denuo recepti, synopsis monographica. Fontqueria 50: 1-346. [All rights reserved]",Spanish
wfo-0001100360,"Morphology: No encontramos el tipo o algun duplicado. Por la descripcion y dibujo de la semilla parece que sea Polygala hottentotta C. Presl.","De Paiva, JAR. 1998. Polygalarum africanarum et madagascariensium prodromus atque gerontogaei generis Heterosamara Kuntze, a genere polygala L. segregati et a nobis denuo recepti, synopsis monographica. Fontqueria 50: 1-346. [All rights reserved]",Spanish
wfo-0001100364,"Morphology: Herbs annus vel perennes, subalbiflors vel albo-viridiflors. Alae subellipticae, usque ad 5.5 mm latae. Crista parva, usque 2.5 mm. Capsula anguste alata; ala usque 0.5 mm lata. Flores grandes, alas 7-7.5 x 4-4.5 mm; cresta muy fimbriada, 2-2.5 mm.
Habitat: Orlas forestales y zona montanosas con abundantes gramineas.
Distribution: Sureste africano. Sudafrica (Transval, Natal).","De Paiva, JAR. 1998. Polygalarum africanarum et madagascariensium prodromus atque gerontogaei generis Heterosamara Kuntze, a genere polygala L. segregati et a nobis denuo recepti, synopsis monographica. Fontqueria 50: 1-346. [All rights reserved]",Spanish
wfo-0001100367,"Morphology: Herbs annus vel perennes, subalbiflors vel albo-viridiflors. Alae subellipticae, usque ad 5.5 mm latae. Crista parva, usque 2.5 mm. Capsula anguste alata; ala usque 0.5 mm lata.
Diagnostic: Hojas estrechas, 0.5-1.5 mm de anchura, lineares a linear lanceoladas, mucronadas y recurvadas en el apice; alas 4.5-5 x 2-3 mm, obovado elipticas; con una conspicua franja media verdosa; capsula 4.5-5 x 2.5-3 mm.
Distribution: Suroeste de Africa. Botswana, Namibia y Sudafrica (Orange y El Cabo). Habitat: estepas del sur de la region de Kalahari, Namaqualandia y Gran Karru.","De Paiva, JAR. 1998. Polygalarum africanarum et madagascariensium prodromus atque gerontogaei generis Heterosamara Kuntze, a genere polygala L. segregati et a nobis denuo recepti, synopsis monographica. Fontqueria 50: 1-346. [All rights reserved]",Spanish
wfo-0001100369,"Morphology: Hierbas vivaces, rara vez verdosas, mas estrechas que la capsula. Estambres fertiles ocho. Capsula aplanado subglobosa o aplanado obovoide, alada. Semillas carunculadas, densamente pubescentes.
Diagnostic: Hierbas decumbentes con tallos largos, 40-50 cm; bracteas y bracteolas filiformes, largas, (2)5-5.5(6) mm; flores largamente pediceladas, pedicelos de 5-6 mm.
Distribution: Sureste de Africa. Sudafrica (Natal). Solo se conoce de la localidad clasica.","De Paiva, JAR. 1998. Polygalarum africanarum et madagascariensium prodromus atque gerontogaei generis Heterosamara Kuntze, a genere polygala L. segregati et a nobis denuo recepti, synopsis monographica. Fontqueria 50: 1-346. [All rights reserved]",Spanish
wfo-0001100393,"Morphology: Hierbas vivaces, rara vez verdosas, mas estrechas que la capsula. Estambres fertiles ocho. Capsula aplanado subglobosa o aplanado obovoide, alada. Semillas carunculadas, densamente pubescentes.
Diagnostic: Hierba de 18-20 cm; alas 6-7 x 3-3.5 mm; capsula de 6 mm de diametro, ampliamente alada, ala de 0.75-1 mm de anchura; apendices membranaceos de la caruncula alcanzando la mitad de la semilla.
Distribution: Sureste de Africa. Sudafrica (Natal).","De Paiva, JAR. 1998. Polygalarum africanarum et madagascariensium prodromus atque gerontogaei generis Heterosamara Kuntze, a genere polygala L. segregati et a nobis denuo recepti, synopsis monographica. Fontqueria 50: 1-346. [All rights reserved]",Spanish
wfo-0001100402,"Morphology: Herbs annus vel raro suffrutescentes. Flores in racemos terminales raro pseudolaterales dispositi. Sepala exteriora carinata; alae ellipticae vel suborbiculares. Capsula ellipsoidea, margine anguste alata, vel subaptera. Appendices quam semina breviores.
Diagnostic: Hojas ± del mismo tamano y forma, lanceoladas a eliptico lanceoladas; racimos laxos, 5-15 cm; pedicelos de 3-3.5 mm; alas 6.5-7 x 3.5-4 mm.
Habitat: Zonas medias y altas de montana con abundantes gramineas.
Distribution: Sudafrica (Natal, Orange) y Lesotho.","De Paiva, JAR. 1998. Polygalarum africanarum et madagascariensium prodromus atque gerontogaei generis Heterosamara Kuntze, a genere polygala L. segregati et a nobis denuo recepti, synopsis monographica. Fontqueria 50: 1-346. [All rights reserved]",Spanish
wfo-0001100405,"Morphology: Hierbas vivaces, rara vez verdosas, mas estrechas que la capsula. Estambres fertiles ocho. Capsula aplanado subglobosa o aplanado obovoide, alada. Semillas carunculadas, densamente pubescentes. Racimos con 4-12 flores, 3-8 cm; capsula 5.5-8 mm de diametro; ala de la capsula 1-1.75 mm de anchura.
Habitat: Terrenos rocosos y zonas con abundantes gramineas.
Distribution: Sur de Africa. Sudafrica (Natal y El Cabo).","De Paiva, JAR. 1998. Polygalarum africanarum et madagascariensium prodromus atque gerontogaei generis Heterosamara Kuntze, a genere polygala L. segregati et a nobis denuo recepti, synopsis monographica. Fontqueria 50: 1-346. [All rights reserved]",Spanish
wfo-0001100420,"Morphology: Arbustos o subarbustos virgados. Flores generalmente de colores verdosos; alas suborbiculares o ligeramente oblongo ellipticas, 5.5-15 mm de anchura; cresta amplia, 2.5-5 mm. Capsula claramente alada (ala de ± 1 mm de anchura). Tallos escasamente o densamente pubescentes (raramente casi glabros); hojas anchas, 5-20 mm de ancho; semillas escasamente pubescentes, con pelos cortos que nunca superan la base de la semilla.
Habitat: Orlas forestales y zonas de montana con abundantes gramineas.
Distribution: Africa tropical oriental y del Sur. Zaire, Tanzania, Zambia, Malawi, Zimbabwe, Mozambique, Swazilandia, Sudafrica (Transval, Natal, Orange, El Cabo) y Lesotho.","De Paiva, JAR. 1998. Polygalarum africanarum et madagascariensium prodromus atque gerontogaei generis Heterosamara Kuntze, a genere polygala L. segregati et a nobis denuo recepti, synopsis monographica. Fontqueria 50: 1-346. [All rights reserved]",Spanish
wfo-0001100421,"Morphology: Arbustos o subarbustos virgados. Flores generalmente de colores verdosos; alas suborbiculares o ligeramente oblongo ellipticas, 5.5-15 mm de anchura; cresta amplia, 2.5-5 mm. Capsula claramente alada (ala de ± 1 mm de anchura). Hojas oblongo-espatuladas, obtusas, mucronadas; flores en racimos paucifloros (hasta 15 flores) y laxos; alas mucho mas grandes que la capsula, 15-18 mm de diametro; cresta 7-10 mm.
Distribution: Sureste de Africa. Sudafrica (parte oriental de la provincia de El Cabo).","De Paiva, JAR. 1998. Polygalarum africanarum et madagascariensium prodromus atque gerontogaei generis Heterosamara Kuntze, a genere polygala L. segregati et a nobis denuo recepti, synopsis monographica. Fontqueria 50: 1-346. [All rights reserved]",Spanish
wfo-0001100423,"Morphology: Herbs annus vel raro suffrutescentes. Flores in racemos terminales raro pseudolaterales dispositi. Sepala exteriora carinata; alae ellipticae vel suborbiculares. Capsula ellipsoidea, margine anguste alata, vel subaptera. Appendices quam semina breviores.
Diagnostic: Plantas crispado pubescentes; hojas estrechamente eliptico lanceoladas a elipticas; racimoscompactos, capiluliformes, hasta 5 cm; capsula estrechamente alada, ala de 0.1 mm de anchura.
Habitat: Zonas montanosas con abundantes gramineas.
Distribution: Sureste africano. Zimbabwe, Mozambique y Sudafrica (Natal, Transval), Lesotho.","De Paiva, JAR. 1998. Polygalarum africanarum et madagascariensium prodromus atque gerontogaei generis Heterosamara Kuntze, a genere polygala L. segregati et a nobis denuo recepti, synopsis monographica. Fontqueria 50: 1-346. [All rights reserved]",Spanish
wfo-0001100425,"Morphology: Subarbustos o hierbas vivaces. Alas petaloides persistentes. Quilla crestada. Estambres fertiles ocho. Capsula estrechamente alada.
Diagnostic: Tallos crispado pubescentes, ± flexuosos y decumbentes; alas ciliadas; capsula biapiculada.
Distribution: Sudafrica, sur de Natal.","De Paiva, JAR. 1998. Polygalarum africanarum et madagascariensium prodromus atque gerontogaei generis Heterosamara Kuntze, a genere polygala L. segregati et a nobis denuo recepti, synopsis monographica. Fontqueria 50: 1-346. [All rights reserved]",Spanish
