id,scientificName,citation,url
wfo-0000639621,Delosperma vernicolor L.Bolus,e-Flora of South Africa. v1.42. 2023. South African National Biodiversity Institute.,http://ipt.sanbi.org.za/iptsanbi/resource?r=flora_descriptions&amp;v=1.42
wfo-0000600550,Cheiridopsis umbrosa S.A.Hammer & Desmet,e-Flora of South Africa. v1.42. 2023. South African National Biodiversity Institute.,http://ipt.sanbi.org.za/iptsanbi/resource?r=flora_descriptions&amp;v=1.42
wfo-0000652289,Disphyma dunsdonii L.Bolus,e-Flora of South Africa. v1.42. 2023. South African National Biodiversity Institute.,http://ipt.sanbi.org.za/iptsanbi/resource?r=flora_descriptions&amp;v=1.42
wfo-0000554909,Astridia vanheerdei L.Bolus,e-Flora of South Africa. v1.42. 2023. South African National Biodiversity Institute.,http://ipt.sanbi.org.za/iptsanbi/resource?r=flora_descriptions&amp;v=1.42
wfo-0000539003,Antimima pauper (L.Bolus) H.E.K.Hartmann,e-Flora of South Africa. v1.42. 2023. South African National Biodiversity Institute.,http://ipt.sanbi.org.za/iptsanbi/resource?r=flora_descriptions&amp;v=1.42
wfo-0000646270,Dicrocaulon nodosum (A.Berger) N.E.Br.,e-Flora of South Africa. v1.42. 2023. South African National Biodiversity Institute.,http://ipt.sanbi.org.za/iptsanbi/resource?r=flora_descriptions&amp;v=1.42
wfo-0000554900,Astridia longifolia (L.Bolus) L.Bolus,e-Flora of South Africa. v1.42. 2023. South African National Biodiversity Institute.,http://ipt.sanbi.org.za/iptsanbi/resource?r=flora_descriptions&amp;v=1.42
wfo-0000600496,Cheiridopsis namaquensis (Sond.) H.E.K.Hartmann,e-Flora of South Africa. v1.42. 2023. South African National Biodiversity Institute.,http://ipt.sanbi.org.za/iptsanbi/resource?r=flora_descriptions&amp;v=1.42
wfo-0000745929,Antimima radicans (L.Bolus) Klak,e-Flora of South Africa. v1.42. 2023. South African National Biodiversity Institute.,http://ipt.sanbi.org.za/iptsanbi/resource?r=flora_descriptions&amp;v=1.42
wfo-0000538996,Antimima mucronata (Haw.) H.E.K.Hartmann,e-Flora of South Africa. v1.42. 2023. South African National Biodiversity Institute.,http://ipt.sanbi.org.za/iptsanbi/resource?r=flora_descriptions&amp;v=1.42
wfo-0000372586,Mesembryanthemum viridiflorum Aiton,e-Flora of South Africa. v1.42. 2023. South African National Biodiversity Institute.,http://ipt.sanbi.org.za/iptsanbi/resource?r=flora_descriptions&amp;v=1.42
wfo-0000539010,Antimima propinqua (N.E.Br.) H.E.K.Hartmann,e-Flora of South Africa. v1.42. 2023. South African National Biodiversity Institute.,http://ipt.sanbi.org.za/iptsanbi/resource?r=flora_descriptions&amp;v=1.42
wfo-0000639448,Delosperma algoense L.Bolus,e-Flora of South Africa. v1.42. 2023. South African National Biodiversity Institute.,http://ipt.sanbi.org.za/iptsanbi/resource?r=flora_descriptions&amp;v=1.42
wfo-0000538964,Antimima hamatilis (L.Bolus) H.E.K.Hartmann,e-Flora of South Africa. v1.42. 2023. South African National Biodiversity Institute.,http://ipt.sanbi.org.za/iptsanbi/resource?r=flora_descriptions&amp;v=1.42
wfo-0001435218,Conophytum obscurum N.E.Br. subsp. obscurum,e-Flora of South Africa. v1.42. 2023. South African National Biodiversity Institute.,http://ipt.sanbi.org.za/iptsanbi/resource?r=flora_descriptions&amp;v=1.42
wfo-0000538970,Antimima ivori (N.E.Br.) H.E.K.Hartmann,e-Flora of South Africa. v1.42. 2023. South African National Biodiversity Institute.,http://ipt.sanbi.org.za/iptsanbi/resource?r=flora_descriptions&amp;v=1.42
wfo-0000547233,Argyroderma theartii Van Jaarsv.,e-Flora of South Africa. v1.42. 2023. South African National Biodiversity Institute.,http://ipt.sanbi.org.za/iptsanbi/resource?r=flora_descriptions&amp;v=1.42
wfo-0000639442,Delosperma acuminatum L.Bolus,e-Flora of South Africa. v1.42. 2023. South African National Biodiversity Institute.,http://ipt.sanbi.org.za/iptsanbi/resource?r=flora_descriptions&amp;v=1.42
wfo-0000646273,Dicrocaulon spissum N.E.Br.,e-Flora of South Africa. v1.42. 2023. South African National Biodiversity Institute.,http://ipt.sanbi.org.za/iptsanbi/resource?r=flora_descriptions&amp;v=1.42
wfo-0000618666,Conophytum chrisolum S.A.Hammer,e-Flora of South Africa. v1.42. 2023. South African National Biodiversity Institute.,http://ipt.sanbi.org.za/iptsanbi/resource?r=flora_descriptions&amp;v=1.42
wfo-0000639454,Delosperma annulare L.Bolus,e-Flora of South Africa. v1.42. 2023. South African National Biodiversity Institute.,http://ipt.sanbi.org.za/iptsanbi/resource?r=flora_descriptions&amp;v=1.42
wfo-0000618663,Conophytum chauviniae (Schwantes) S.A.Hammer,e-Flora of South Africa. v1.42. 2023. South African National Biodiversity Institute.,http://ipt.sanbi.org.za/iptsanbi/resource?r=flora_descriptions&amp;v=1.42
wfo-0001293518,Lithops aucampiae L.Bolus,e-Flora of South Africa. v1.42. 2023. South African National Biodiversity Institute.,http://ipt.sanbi.org.za/iptsanbi/resource?r=flora_descriptions&amp;v=1.42
wfo-0000600411,Cheiridopsis acuminata L.Bolus,e-Flora of South Africa. v1.42. 2023. South African National Biodiversity Institute.,http://ipt.sanbi.org.za/iptsanbi/resource?r=flora_descriptions&amp;v=1.42
wfo-0000600453,Cheiridopsis derenbergiana Schwantes,e-Flora of South Africa. v1.42. 2023. South African National Biodiversity Institute.,http://ipt.sanbi.org.za/iptsanbi/resource?r=flora_descriptions&amp;v=1.42
wfo-0000619094,Conophytum smorenskaduense de Boer,e-Flora of South Africa. v1.42. 2023. South African National Biodiversity Institute.,http://ipt.sanbi.org.za/iptsanbi/resource?r=flora_descriptions&amp;v=1.42
wfo-0001421443,Syntrichia leucostega var. trachyneura (Dixon) R.H.Zander,e-Flora of South Africa. v1.42. 2023. South African National Biodiversity Institute.,http://ipt.sanbi.org.za/iptsanbi/resource?r=flora_descriptions&amp;v=1.42
wfo-0001293283,Lampranthus bicolor (L.) N.E.Br.,e-Flora of South Africa. v1.42. 2023. South African National Biodiversity Institute.,http://ipt.sanbi.org.za/iptsanbi/resource?r=flora_descriptions&amp;v=1.42
wfo-0001293377,Lampranthus leptaleon (Haw.) N.E.Br.,e-Flora of South Africa. v1.42. 2023. South African National Biodiversity Institute.,http://ipt.sanbi.org.za/iptsanbi/resource?r=flora_descriptions&amp;v=1.42
wfo-0001293475,Lampranthus tenuifolius (L.) N.E.Br.,e-Flora of South Africa. v1.42. 2023. South African National Biodiversity Institute.,http://ipt.sanbi.org.za/iptsanbi/resource?r=flora_descriptions&amp;v=1.42
wfo-0001161964,Weisiopsis plicata (Mitt.) Broth.,e-Flora of South Africa. v1.42. 2023. South African National Biodiversity Institute.,http://ipt.sanbi.org.za/iptsanbi/resource?r=flora_descriptions&amp;v=1.42
wfo-0001293386,Lampranthus macrocarpus (A.Berger) N.E.Br.,e-Flora of South Africa. v1.42. 2023. South African National Biodiversity Institute.,http://ipt.sanbi.org.za/iptsanbi/resource?r=flora_descriptions&amp;v=1.42
wfo-0001293465,Lampranthus suavissimus (L.Bolus) L.Bolus,e-Flora of South Africa. v1.42. 2023. South African National Biodiversity Institute.,http://ipt.sanbi.org.za/iptsanbi/resource?r=flora_descriptions&amp;v=1.42
wfo-0001293469,Lampranthus subrotundus L.Bolus,e-Flora of South Africa. v1.42. 2023. South African National Biodiversity Institute.,http://ipt.sanbi.org.za/iptsanbi/resource?r=flora_descriptions&amp;v=1.42
wfo-0001293372,Lampranthus lavisii (L.Bolus) L.Bolus,e-Flora of South Africa. v1.42. 2023. South African National Biodiversity Institute.,http://ipt.sanbi.org.za/iptsanbi/resource?r=flora_descriptions&amp;v=1.42
wfo-0001293526,Lithops divergens L.Bolus,e-Flora of South Africa. v1.42. 2023. South African National Biodiversity Institute.,http://ipt.sanbi.org.za/iptsanbi/resource?r=flora_descriptions&amp;v=1.42
wfo-0001293309,Lampranthus debilis (Haw.) N.E.Br.,e-Flora of South Africa. v1.42. 2023. South African National Biodiversity Institute.,http://ipt.sanbi.org.za/iptsanbi/resource?r=flora_descriptions&amp;v=1.42
wfo-0000619024,Conophytum pubescens (Tischer) G.D.Rowley,e-Flora of South Africa. v1.42. 2023. South African National Biodiversity Institute.,http://ipt.sanbi.org.za/iptsanbi/resource?r=flora_descriptions&amp;v=1.42
wfo-0001293489,Lampranthus villiersii (L.Bolus) L.Bolus,e-Flora of South Africa. v1.42. 2023. South African National Biodiversity Institute.,http://ipt.sanbi.org.za/iptsanbi/resource?r=flora_descriptions&amp;v=1.42
