WFOID,vernacularName,taxon,identifier,preferredName,source,language,countryCode,uri
wfo-0000571271,Swede,Brassica napus,521,0,,en,IE,
wfo-0000571271,Oil-seed rape,Brassica napus,522,0,,en,IE,
wfo-0000571271,Shillogs,Brassica napus,523,0,,en,IE,
wfo-0000571271,Yellow rape,Brassica napus,524,0,,en,IE,
wfo-0000571271,Turnip,Brassica napus,525,0,,en,IE,
wfo-0000571350,Wild cabbage,Brassica oleracea,528,1,,en,IE,
wfo-0000571350,Cabbage,Brassica oleracea,529,0,,en,IE,
wfo-0000571350,Kale,Brassica oleracea,530,0,,en,IE,
wfo-0000571544,Wild turnip,Brassica rapa,534,1,,en,IE,
wfo-0000854755,Quaking-grass,Briza media,537,1,,en,IE,
wfo-0000854755,Shivery grass,Briza media,538,0,,en,IE,
wfo-0000854755,Shaky grass,Briza media,539,0,,en,IE,
wfo-0000854755,Shaky heads,Briza media,540,0,,en,IE,
wfo-0000854755,Fairy grass,Briza media,541,0,,en,IE,
wfo-0000854755,Doddering dillies,Briza media,542,0,,en,IE,
wfo-0000854979,Upright brome,Bromopsis erecta,546,1,,en,IE,
wfo-0000855067,Hairy brome,Bromopsis ramosa,550,1,,en,IE,
wfo-0000855398,Meadow brome,Bromus commutatus,552,1,,en,IE,
wfo-0000855692,Soft brome,Bromus hordeaceus,554,1,,en,IE,
wfo-0000855692,Sturdy,Bromus hordeaceus,555,0,,en,IE,
wfo-0000856443,Rye brome,Bromus secalinus,559,1,,en,IE,
wfo-0000574004,Butterfly-bush,Buddleja davidii,562,1,,en,IE,
wfo-0000762573,Flowering rush,Butomus umbellatus,564,1,,en,IE,
wfo-0000578725,Sea rocket,Cakile maritima,566,1,,en,IE,
wfo-0000578725,Purple sea rocket,Cakile maritima,567,0,,en,IE,
wfo-0000857259,Wood small-reed,Calamagrostis epigejos,569,1,,en,IE,
wfo-0000858042,Narrow small-reed,Calamagrostis stricta,571,1,,en,IE,
wfo-0000061618,Garden marigold,Calendula officinalis,573,1,,en,IE,
wfo-0000061618,Pot marigold,Calendula officinalis,574,0,,en,IE,
wfo-0000776917,Pedunculate water-starwort,Callitriche brutia,578,1,,en,IE,
wfo-0000777349,Intermediate water-starwort,Callitriche hamulata,580,1,,en,IE,
wfo-0000777394,Autumnal water-starwort,Callitriche hermaphroditica,582,1,,en,IE,
wfo-0000777853,Blunt-fruited water-starwort,Callitriche obtusangula,584,1,,en,IE,
wfo-0000778106,Various-leaved water-starwort,Callitriche platycarpa,586,1,,en,IE,
wfo-0000778236,Common water-starwort,Callitriche stagnalis,588,1,,en,IE,
wfo-0000778440,Short-leaved water-starwort,Callitriche truncata,591,1,,en,IE,
wfo-0000580837,Heather,Calluna vulgaris,593,1,,en,IE,
wfo-0000580837,Ling,Calluna vulgaris,594,0,,en,IE,
wfo-0000580837,Heath broom,Calluna vulgaris,595,0,,en,IE,
wfo-0000581660,Marsh-marigold,Caltha palustris,600,1,,en,IE,
wfo-0000581660,Kingcup,Caltha palustris,601,0,,en,IE,
wfo-0000581660,Mayflower,Caltha palustris,602,0,,en,IE,
wfo-0001296723,Hedge bindweed,Calystegia sepium,614,1,,en,IE,
wfo-0001296723,Robin-run-the-hedge,Calystegia sepium,615,0,,en,IE,
wfo-0001296723,Wild ivy,Calystegia sepium,616,0,,en,IE,
wfo-0001296723,Great bindweed,Calystegia sepium,617,0,,en,IE,
wfo-0001296723,Bellbine,Calystegia sepium,618,0,,en,IE,
wfo-0001298858,Sea bindweed,Calystegia soldanella,626,1,,en,IE,
wfo-0000828550,Harebell,Campanula rotundifolia,628,1,,en,IE,
wfo-0000828550,Blue bell,Campanula rotundifolia,629,0,,en,IE,
wfo-0000828550,Blue-bonnet,Campanula rotundifolia,630,0,,en,IE,
wfo-0000828550,Fairy thimble,Campanula rotundifolia,631,0,,en,IE,
wfo-0000829176,Nettle-leaved bellflower,Campanula trachelium,635,1,,en,IE,
wfo-0000829176,Throatwort,Campanula trachelium,636,0,,en,IE,
