WFOID,identifier,vernacularName,isPreferredName,source,language,countryCode,uri,rights,license,bibliographicCitation,Volume,Part
wfo-0000312126,ver-THA-0000312126.02,ueang din (เอื้องดิน)(Lampang),,ref-THA-0000312126,TH,THA,https://www.dnp.go.th/botany/eflora/floraspecies.html?tdcode=05962,Forest Herbarium,All rights reserved,"Spathoglottis pubescens . Flora of Thailand. Vol. 12. Part 2, 2014. Pg. 630. Accessed 2022-04-21",12,2
wfo-0000312126,ver-THA-0000312126.03,ueang din lao (เอื้องดินลาว)(Chiang Mai),,ref-THA-0000312126,TH,THA,https://www.dnp.go.th/botany/eflora/floraspecies.html?tdcode=05962,Forest Herbarium,All rights reserved,"Spathoglottis pubescens . Flora of Thailand. Vol. 12. Part 2, 2014. Pg. 630. Accessed 2022-04-21",12,2
wfo-0000312126,ver-THA-0000312126.04,ueang nuan chan (เอื้องนวลจันทร์)(Northern),,ref-THA-0000312126,TH,THA,https://www.dnp.go.th/botany/eflora/floraspecies.html?tdcode=05962,Forest Herbarium,All rights reserved,"Spathoglottis pubescens . Flora of Thailand. Vol. 12. Part 2, 2014. Pg. 630. Accessed 2022-04-21",12,2
wfo-0000312126,ver-THA-0000312126.05,toe-si-re kho (เตอสี่เร่โค้ะ)(Karen-Mae Hong Son),,ref-THA-0000312126,TH,THA,https://www.dnp.go.th/botany/eflora/floraspecies.html?tdcode=05962,Forest Herbarium,All rights reserved,"Spathoglottis pubescens . Flora of Thailand. Vol. 12. Part 2, 2014. Pg. 630. Accessed 2022-04-21",12,2
wfo-0000316748,ver-THA-0000316748.01,kluai pluak muang (กล้วยปลวกม่วง)(General),,ref-THA-0000316748,TH,THA,https://www.dnp.go.th/botany/eflora/floraspecies.html?tdcode=05964,Forest Herbarium,All rights reserved,"Stereosandra javanica . Flora of Thailand. Vol. 12. Part 2, 2014. Pg. 632. Accessed 2022-04-21",12,2
wfo-0000322818,ver-THA-0000322818.01,ueang klip mafueang (เอื้องกลีบมะเฟือง)(General),,ref-THA-0000322818,TH,THA,https://www.dnp.go.th/botany/eflora/floraspecies.html?tdcode=05980,Forest Herbarium,All rights reserved,"Thecopus maingayi . Flora of Thailand. Vol. 12. Part 2, 2014. Pg. 650. Accessed 2022-04-21",12,2
wfo-0000322823,ver-THA-0000322823.01,ru hi ni (รูหินี)(General),,ref-THA-0000322823,TH,THA,https://www.dnp.go.th/botany/eflora/floraspecies.html?tdcode=05982,Forest Herbarium,All rights reserved,"Thecostele alata . Flora of Thailand. Vol. 12. Part 2, 2014. Pg. 652. Accessed 2022-04-21",12,2
wfo-0000323569,ver-THA-0000323569.01,chang nga diao (ช้างงาเดียว)(General),,ref-THA-0000323569,TH,THA,https://www.dnp.go.th/botany/eflora/florainfra.html?tdcode=05985,Forest Herbarium,All rights reserved,"Thunia alba alba. Flora of Thailand. Vol. 12. Part 2, 2014. Pg. 655. Accessed 2022-04-21",12,2
wfo-0000323569,ver-THA-0000323569.02,sawet sot si (เศวตสอดสี)(Bangkok),,ref-THA-0000323569,TH,THA,https://www.dnp.go.th/botany/eflora/florainfra.html?tdcode=05985,Forest Herbarium,All rights reserved,"Thunia alba alba. Flora of Thailand. Vol. 12. Part 2, 2014. Pg. 655. Accessed 2022-04-21",12,2
wfo-0000323569,ver-THA-0000323569.03,ueang nga chang (เอื้องงาช้าง)(Chiang Mai),,ref-THA-0000323569,TH,THA,https://www.dnp.go.th/botany/eflora/florainfra.html?tdcode=05985,Forest Herbarium,All rights reserved,"Thunia alba alba. Flora of Thailand. Vol. 12. Part 2, 2014. Pg. 655. Accessed 2022-04-21",12,2
wfo-0000323569,ver-THA-0000323569.04,pho-thu-ki (พอทุกิ)(Karen-Mae Hong Son),,ref-THA-0000323569,TH,THA,https://www.dnp.go.th/botany/eflora/florainfra.html?tdcode=05985,Forest Herbarium,All rights reserved,"Thunia alba alba. Flora of Thailand. Vol. 12. Part 2, 2014. Pg. 655. Accessed 2022-04-21",12,2
wfo-0000323571,ver-THA-0000323571.01,ueang mani chai (เอื้องมณีฉาย)(Kanchanaburi),,ref-THA-0000323571,TH,THA,https://www.dnp.go.th/botany/eflora/floraspecies.html?tdcode=05987,Forest Herbarium,All rights reserved,"Thunia bensoniae . Flora of Thailand. Vol. 12. Part 2, 2014. Pg. 655. Accessed 2022-04-21",12,2
wfo-0000328683,ver-THA-0000328683.01,khao dong at sam (ขาวดงอัสสัม)(General),,ref-THA-0000328683,TH,THA,https://www.dnp.go.th/botany/eflora/floraspecies.html?tdcode=05990,Forest Herbarium,All rights reserved,"Tropidia angulosa . Flora of Thailand. Vol. 12. Part 2, 2014. Pg. 659. Accessed 2022-04-21",12,2
wfo-0000328692,ver-THA-0000328692.01,khao dong (ขาวดง)(General),,ref-THA-0000328692,TH,THA,https://www.dnp.go.th/botany/eflora/floraspecies.html?tdcode=05991,Forest Herbarium,All rights reserved,"Tropidia curculigoides . Flora of Thailand. Vol. 12. Part 2, 2014. Pg. 661. Accessed 2022-04-21",12,2
wfo-0000328714,ver-THA-0000328714.01,ueang din dok khao (เอื้องดินดอกขาว)(General),,ref-THA-0000328714,TH,THA,https://www.dnp.go.th/botany/eflora/floraspecies.html?tdcode=05992,Forest Herbarium,All rights reserved,"Tropidia pedunculata . Flora of Thailand. Vol. 12. Part 2, 2014. Pg. 663. Accessed 2022-04-21",12,2
