"referenceID","bibliographicCitation"
"ref-8583282451497420502","Sleumer, H.O. 1984 Olacaceae Flora Neotropica Monograph 38 New York"
"ref--4678545596839551002","Solereder, H. 1899 Systematische Anatomie der Dicotyledonen. F. Enke Stuttgart"
"ref--4643837203753093026","Solereder, H. 1908 Systematische Anatomie der Dicotyledonen Erganzungsband. F. Enke Stuttgart"
"ref--6774328541731132679","Vink, A.T. 1965 Surinam timbers Surinam Forest Service Paramaribo"
"ref-1522013686217938220","Grenand, Moretti & Jacquemin Pharmacopees traditionelles en Guyane 326 1987"
"ref--1488911598445793759","Engler, A. 1872 Agonandra Miers C.F.P. Martius Flora Brasiliensis 12 2 38 t.8"
"ref-3261603352102601241","Nevling, L.l., Jr. 1960 Opiliaceae R.E. Woodson et al. Flora of Panama. Ann. Missouri Bot. Gard.. 47 291-292 fig. 83"
"ref-7002443456604464242","Sleumer, H. 1935 Opiliaceae A. Engler & K. Prantl Die Natiirlichen Pflanzenfamilien ed. 2 16b 33-41"
"ref--608308725057362894","Toledo, J.F. 1952 Species brasilienses Agonandrae Miers Arq. Bot. Estado Sao Paulo 3 11-17 2 tab"
"ref--4094474211369650362","Anonymus. 1977 NEN 1015. Benamingen van handelshoutsoorten Rijswijk"
"ref-7159063092435750393","Anonymus. 1982 Nomenclature generale des bois tropicaux Association technique international des bois tropicaux Nogent-sur-Marne"
"ref--5251415754531637342","Baas, P., E. van Oosterhoud & C.J.L. Scholtes. 1982 Leaf anatomy and classification of the Olacaceae, Octoknema and Erythropalum Allertonia 3 155-210"
"ref-4714502985300452201","Benoist, R. 1931 Les bois de la Guyane Francaise Archives de botanique tome 5 Memoire 1 Caen"
"ref-4800814376984999482","Detienne, P., P. Jacquet & A. Mariaux. 1982 Manuel d'identification des bois tropicaux Tome 3. Guyane Francaise C.T.F.T. Nogent-sur-Marne"
"ref-9026327145703343351","Detienne, P. & P. Jacquet. 1983 Atlas d'identification des bois de l'Amazonie et des regions voisines C.T.F.T. Nogent-sur-Marne"
"ref-461045617947383303","Fanshawe, D.B. 1948 Forest products of British Guiana. Part 1. Principal Timbers Forestry Bulletin 1 (New series)"
"ref--4251725090207315016","Fanshawe, D.B. 1949 Check-list of the indigenous woody plants of British Guiana Forestry Bulletin 3 (New series)"
"ref-7833838691876801678","Japing, C.H. & H.W. Japing. 1960 Houthandboek Surinaamse houtsoorten 's-Lands Bosbeheer Paramaribo"
"ref-1524800258363830269","Koek-Noorman, J. & P. van Rijckevorsel. 1983 Wood and leaf anatomy ofOpiliaceae Willdenowia 13 147-174"
"ref--4893069738212776199","Lindeman, J.C. & A.M.W. Mennega. 1963 Bomenboek voor Suriname 's-Lands Bosbeheer Paramaribo"
"ref--6971196783461102506","Mennega, E.A., W.C.H. Tammens de Rooij & M.J. Jansen-Jacobs (Eds.) 1988 Check-list of woody plants of Guyana Tropenbos Technical Series 2 Tropenbos Foundation Ede"
"ref-5770825112087269692","Metcalfe, C.R. & L. Chalk. 1950 Anatomy of the Dicotyledons Oxford University Press Oxford"
"ref-1478164212188693969","Record, S.J. & R.W. Hess. 1943 Timbers of the New World Yale University Press New Haven"
"ref--7761314608672503752","Reed, C.F. 1955 The comparative morphology of the Olacaceae, Opiliaceae and Oktoknemaceae Mem. Soc. Brot. 10 29-79"
"ref-8583282451497420502","Sleumer, H.O. 1984 Olacaceae Flora Neotropica Monograph 38 New York"
"ref--4678545596839551002","Solereder, H. 1899 Systematische Anatomie der Dicotyledonen. F. Enke Stuttgart"
"ref--4643837203753093026","Solereder, H. 1908 Systematische Anatomie der Dicotyledonen Erganzungsband. F. Enke Stuttgart"
"ref--6774328541731132679","Vink, A.T. 1965 Surinam timbers Surinam Forest Service Paramaribo"
"ref--5303457037743114272","Lanjouw, J. 1932 A.A. Pulle Flora of Suriname 1.1 46"
"ref-3031832287470611317","Hansen, B. 1980 Flora Neotropica Monograph 23 1-80"
"ref-6045110380775044296","Hansen, B. 1983 Flora Ecuador Monograph 19 1-16"
