wfo_ID,assessmentId,internalTaxonId,scientificName,familyName,genusName,speciesName,infraType,infraName,infraAuthority,authority,redlistCategory,redlistCriteria,criteriaVersion,populationTrend,scopes
wfo-0000184707,162575945,152001060,Macrolobium herrerae,FABACEAE,Macrolobium,herrerae,,,,Zarucchi,Endangered,"B1ab(i,ii)+2ab(i,ii)",3.1,Unknown,Global
wfo-0000184712,203446142,203446139,Mucuna killipiana,FABACEAE,Mucuna,killipiana,,,,Hern. Cam. & C. Barbosa,Least Concern,,3.1,Unknown,Global
wfo-0000184719,109829654,109829632,Phaseolus plagiocylix,FABACEAE,Phaseolus,plagiocylix,,,,Harms,Endangered,"B1ab(i,iii,v)",3.1,Decreasing,Global
wfo-0000184721,170270878,170270876,Piptadenia anolidurus,FABACEAE,Piptadenia,anolidurus,,,,Barneby,Least Concern,,3.1,Stable,Global
wfo-0000184740,22485743,22484096,Spirotropis longifolia,FABACEAE,Spirotropis,longifolia,,,,(DC.) Baill.,Least Concern,,3.1,Stable,Global
wfo-0000184742,228552781,45253,Stryphnodendron porcatum,FABACEAE,Stryphnodendron,porcatum,,,,D.A.Neill & Occhioni f.,Least Concern,,3.1,Unknown,Global
wfo-0000184750,151975434,151975432,Vatairea erythrocarpa,FABACEAE,Vatairea,erythrocarpa,,,,(Ducke) Ducke,Least Concern,,3.1,Stable,Global
wfo-0000184764,240676390,240671821,Lonchocarpus blainii,FABACEAE,Lonchocarpus,blainii,,,,C.Wright,Least Concern,,3.1,Stable,Global
wfo-0000184823,218167901,218167898,Machaerium goudotii,FABACEAE,Machaerium,goudotii,,,,Benth.,Least Concern,,3.1,Unknown,Global
wfo-0000184824,10006794,36664,Macrolobium taylorii,FABACEAE,Macrolobium,taylorii,,,,D.R.Simpson,Vulnerable,D2,2.3,,Global
wfo-0000184827,20109731,19892926,Mimosa claussenii,FABACEAE,Mimosa,claussenii,,,,Benth.,Least Concern,,3.1,Stable,Global
wfo-0000184829,226038149,37462,Pithecellobium johansenii,FABACEAE,Pithecellobium,johansenii,,,,Standl.,Near Threatened,B2ab(iii),3.1,Unknown,Global
wfo-0000184834,146073925,146073923,Swartzia jororii,FABACEAE,Swartzia,jororii,,,,Harms,Least Concern,,3.1,Stable,Global
wfo-0000184846,200623535,200409274,Inga calderonii,FABACEAE,Inga,calderonii,,,,Standl.,Least Concern,,3.1,Stable,Global
wfo-0000184855,171747080,169878510,Bauhinia eilertsii,FABACEAE,Bauhinia,eilertsii,,,,Pulle,Vulnerable,B2ab(iii),3.1,Unknown,Global
wfo-0000184856,20005119,19892007,Alexa wachenheimii,FABACEAE,Alexa,wachenheimii,,,,Benoist,Least Concern,,3.1,Stable,Global
wfo-0000184865,228553662,45254,Zapoteca aculeata,FABACEAE,Zapoteca,aculeata,,,,(Spruce ex Benth.) H.M.Hern.,Endangered,B2ab(iii),3.1,Decreasing,Global
wfo-0000184912,153307600,153307598,Zapoteca microcephala,FABACEAE,Zapoteca,microcephala,,,,(Britton & Killip) H.M.Hern.,Endangered,B1ab(iii),3.1,Decreasing,Global
